start	end	text
0	10840	...
14840	20640	Damals stand man in einer Schlange irgendwo und musste warten oder man wartet auf den Bus oder so
20640	25680	und dann hat man, weil man langweilig hatte, angefangen über irgendwas nachzudenken. Man hat
25680	32360	die Gedanken kreisen lassen, man hat den Tag Revue passieren lassen, man hat darüber nachgedacht,
32360	38320	was man morgen macht oder was die Frau macht oder egal, man hat über irgendwas nachgedacht.
38320	47000	Heutzutage passiert das beim Großteil der Menschen nicht mehr. Und warum? Weil sie
47000	55600	nicht mehr sowas hier haben, sondern weil sie Smartphones haben. Nach einer Sekunde in einer
55600	59400	Schlange stehen, wird das Teil rausgeholt und dann wird rumgewischt und dann wird
59400	66240	irgendwelcher nutzloser Krempel in dich reingetan. Hauptsache Katzen-Content und
66240	72720	Hauptsache schön kurzweilig und immer mehr und immer mehr. Und sozusagen Binge-Watching-Blues
72720	79800	sogar ohne Serien. Und das Problem ist und das wird es mittlerweile auch durch Studien belegt,
79800	85560	dass Leute keine Kreativität mehr haben, sie haben keine Geduld mehr, sie können sich nicht
85560	94320	konzentrieren. Es macht sozusagen die Zukunft der Menschheit kaputt. Nur alleine das Smartphone,
94320	98520	weil es sozusagen am Endnutzer dran ist. Ich kann mich noch genau erinnern, als ich vor 20
98520	103120	Jahren der Computer-Nerd war und nur gezockt habe, da waren die ganzen normalen Mainstream-Spinner
103120	107760	und haben alle behauptet, ja du bist total asozial, du gehst ja nicht raus, du musst mal
107760	115040	in die frische Luft und so ein Scheiß. Dabei habe ich, wenn ich gezockt habe, natürlich Problemlösungen,
115040	122240	ich hatte Analysen, ich musste nachdenken, ich musste selbstständig was tun. Heutzutage sind
122240	127680	das genau die Fratzen, die 247 vor ihrem komischen Wischapparat setzen und die sogar ihren kleinen
127680	132720	Kindern diese Wischapparate direkt hingeben. Es ist mittlerweile gemessen, dass Kinder mit vier
132720	136480	Monaten schon anfangen irgendwelche Tablets rumzuwischen und natürlich macht das die kognitive
136480	143280	Entwicklung völlig kaputt. Kinder können mit so einem 2D-Bild gar nichts anfangen und gerade
143280	147400	am Anfang braucht man natürlich Motorik. Man braucht Motorik und muss das verbinden miteinander.
147400	153520	Ohne das geht es nicht und das ist schon messbar. Manfred Spitzer hat schon tausend Sachen darüber
153520	158320	geschrieben und alle möglichen Studien der letzten 20 Jahre zusammengetragen, warum Digitalisierung
158320	162000	schlecht ist, gerade für Kindesentwicklung und warum es in der Schule ein absoluter Fail ist.
162000	171560	Eine völlig toxische PR-Kampagne der großen Tech-Unternehmen und die OECD-Studie selber zeigt
171560	175320	auch, dass Digitalisierung schlecht ist für die Schulen. Trotzdem pushen sie die Agenda weiter,
175320	183320	weil es natürlich eine große korrupte Nummer ist der großen Industrie. Man kann alles in einem
183320	187640	sagen Smartphone sind für alle schlecht, obendrauf kommt dann noch Überwachungskapitalismus,
187640	193800	Konsumerismus, Radikalisierung, Verschwörungstheorien, Fake News und der ganze andere Krempel.
193800	201360	Sozusagen die Verdummung der Masse. Alles was schlecht ist, wird nur noch verstärkt durch das
201360	207320	Konzept des Smartphones und für mich fühlt es sich tatsächlich an wie ein großer Vorteil,
207320	212160	dass ich keins habe. Wenn ich rausgehe oder irgendwas anderes mache, was nichts an meinem
212160	216960	Computer ist, dann ist das eine Entscheidung. Und dann setze ich mich mit Dingen auseinander und
216960	221600	habe meine eigenen Gedanken. Und natürlich bin ich nicht frei von Manipulation und ich werde
221600	225040	natürlich auch beeinflusst durch andere Sachen. Zum Beispiel wenn ich hier in meinem Rechner sitze,
225040	231080	klar. Aber es ist eine völlig andere Qualität, wenn du ins Bett gehst und einfach mal noch 5
231080	239360	Minuten oder auch 50 irgendwelche Katzenvideos durchscrollst. Und was das mit der Jugend und
239360	243480	was das mit den Kindern macht, ist noch gar nicht bemessbar. Die ersten Symptome sieht man schon.
243480	249280	Meiner Meinung nach ist die Generation der Digitinatives schon komplett verkackt. Die haben
249280	254680	wegen der Noteninflation auch, aber auch wegen der ganzen Digitalisierung schon riesen Handicaps.
254680	260600	Die können zum Beispiel nicht mit negativen Feedback umgehen und mehrere Dinge. Ich habe da
260600	266440	auch verschiedene Videos darüber gemacht, was das Problem ist. Aber Kinder, die noch jünger sind,
266560	272520	haben natürlich noch größere Probleme. Man muss sich vorstellen, in den USA gibt es Artikel zum
272520	278120	Beispiel einen Pott, wenn die Kinder lernen sollen trocken zu werden, wenn die da drauf
278120	282400	sitzen. Und normalerweise ist man sehr frustrierend. Dann müssen die Kinder da drauf warten und sich
282400	287240	irgendwie darauf konzentrieren. Das findet heutzutage nicht mehr Schatten. Nein, es gibt den Pott,
287240	291560	wo man ein Tablet reinspannen kann vorne, damit das Kind die ganze Zeit geschaltet wird mit
291560	296120	Schrott. Und wie verkauft die Industrie das? Mit Bildung. Die sagen, ja in der Zeit könnte
296120	300480	dein Kind ja was lernen. Aber es ist schon durch Studien nachgewiesen, da lernt man gar nichts mit.
300480	304840	Übrigens, Smartphones sind überhaupt nicht gut geeignet zum Lernen. Die sind höchstens gut zum
304840	312840	Arbeiten. Es sind Tools, aber sie sind nicht gut zum Lernen. Selbst das Umbläsern einer Seite in
312840	319320	einem Buch bringt mehr für den Lernprozess als das Wischen auf einer flachen Oberfläche. Und das
319320	324640	ist auch schon messbar. Entweder zieht euch ein Vortrag von Manfred Spitzer rein oder ihr nehmt
324640	330960	mein Video, weil da habe ich auch noch die ganzen Quellen verlinkt. Alles in allem, Smartphones sind
330960	340120	sozusagen der absolute I-Punkt auf der völligen Verdummung. Und meiner Meinung nach kann es nicht
340120	346280	mehr lange so weitergehen. Entweder wir geben komplett unsere Individualität ab und die Schnecken
346280	353240	denken für uns. Und die große KI sozusagen, das Computervertrauen wird einfach immer stärker.
353240	361320	Oder es kollabiert vorher. Ich weiß nicht genau. In Zukunft wird es wahrscheinlich so sein, dass es
361320	366000	ein absolutes Privileg ist, kein Smartphone mehr zu haben und nicht permanent online zu sein. Und
366000	372160	dann wird es eine neue Klasse von Menschen geben, die dadurch, dass sie nicht manipuliert sind und
372160	378280	irgendwie diesen Wettbewerbsvorteil haben gegenüber allen anderen, die sich das nicht
378280	383760	leisten können, nicht online zu sein. Sie werden eine neue Klasse, eine Struktur bilden und wahrscheinlich
383760	389160	ja große Vorteile haben gegenüber allen anderen, die sozusagen vollständig in der Matrix eingelöckt
389160	396280	sind. Man muss sich das einfach mal reinziehen, wie das läuft. Und ja, so populäre Dokumentationen wie
396280	402280	zum Beispiel das Social Dilemma kann ich nur empfehlen. Also ich kann es empfehlen, weil es dem
402280	408040	einfachen Menschen auf der Straße schon erklärt, was das Problem ist. Dass sozusagen der Nutzer das
408040	413520	Produkt ist und nicht andersrum. Ihr nutzt sozusagen nicht das Smartphone. Nein, das Smartphone macht
413520	420760	euch zum Produkt. Und das wird da richtig gut erklärt. Und ja, sonst zieht euch meine Videos dazu
420760	426800	rein. Ich habe auch schon ein bisschen Ahnung davon. Und das ist natürlich alles auch noch
426800	434280	verbunden mit Hochfrequenzhandel, globalisierten Kapitalismus, Automatisierung, Amazon, Uber,
434280	441960	die ganzen fetten IT-Konzerne. Und was da genau das Problem ist. Ich spreche halt darüber. Ich
441960	448280	habe einen Haufen Quellen und alles relativ interessant, wenn man denn noch Muße hat,
448280	455080	sich überhaupt noch was reinzuziehen, abseits von Netflix-Serien, Bingebutschen und irgendwelchen
455080	461160	Sommerhaus der Stars gewichse. By the way, ich habe nicht mal ein Fernseher. Ich habe also kein
461160	466200	Smartphone und kein Fernseher. Ich entscheide selber, was ich mir drauf schaffe. Gute Nacht.
478280	482760	Fucking stupid Smartphone. Just throw it out. I mean, this is most likely just disturbing you.
482760	489000	It's bullshit. It's no content. You don't need it. It's costing money. And fuck this. It's just
489000	496040	distracting you from important stuff. Like your children. Your small child looks on a tree and
496040	501880	it says, oh there. And it points out or it's just reacting to something and you don't recognize it
501880	505800	because you're fucking distracted with some bullshit smartphone. And fuck this shit, man.
508280	514040	In der Videobeschreibung nach, da werde ich meine ganzen Referenzen anbringen und insbesondere
514040	520640	verweise auf meinen englischen Kanal, wo dann sozusagen in detail die meisten Sachen besprochen sind.
