start	end	text
0	2560	Weil das mit dem Geld bekommen ist ja eigentlich auch nur ein Zwischenziel.
2560	7520	Eigentlich ist es nur ein Zwischenziel, nämlich ein Zwischenziel zu ein glückliches Leben führen.
7520	11360	Aber die Leute checken das irgendwann nicht mehr und vergessen, dass das ein Zwischenziel war.
11360	17440	Und Menschen fangen dann irgendwann an, ganze Sagen und Mythen, Geschichten und Trilogien zu verfassen,
17440	20800	nur um ihr Vorgehen vor sich selbst zu rechtfertigen.
20800	22800	Mit Geschichten.
22800	27360	Dass sie zum Beispiel blöder Arschlöcher sind und die Kapitalakkumulation vorantreiben.
30000	46160	So Leute, ich denke jetzt mal noch ein bisschen weiter in der Richtung, wie ich es in dem Video getan habe,
46160	48640	Geschichten über Identitäten, die wir uns erzählen.
48640	51920	Und den Clip, den ihr gerade gesehen habt, da setze ich jetzt im Prinzip an.
51920	58320	Ich denke, dass wir uns nicht nur Geschichten erzählen, die wir deswegen nur erzählen,
58320	64240	um uns die Zwischenfunktion, die wir optimieren, schönzureden, weil wir schon völlig vergessen haben, was wir eigentlich machen wollen.
64240	70480	Es ist irgendwann so, dass die Geschichten selbst wichtiger werden als die Zielfunktion, die wir eigentlich optimieren wollen.
70480	79760	Und wenn ich jetzt zum Beispiel beobachten kann, dass andere Menschen im Umfeld mir Macht geben,
79760	85680	indem sie meine Geschichte, die ich erzähle, glauben, die glauben diese Geschichte,
85920	90160	dann gilt das insbesondere für alle möglichen gesellschaftlichen Konventionen.
90160	96560	Also mal angenommen, ich renne mit meiner Tochter draußen rum, dann bin ich in der gesellschaftlichen Konvention, in der Vaterrolle drin.
96560	102160	Und das privilegiert mich, völlig anders zu handeln und anders zu interagieren mit anderen Menschen in der Öffentlichkeit.
102160	108720	Und Leute erwarten auch von mir, dass andere bestimmte Handlungsmuster, die sie sonst niemals erwarten würden.
108720	113120	Das sind alles Dinge, die damit zu tun haben, dass wir uns permanent schon so Geschichten rüberreichen.
114080	123280	Und ich habe ja typischerweise immer solche Statements, wo ich sage, naja, die Physik ist schon jetzt alles und beschreibt alles.
