start	end	text
0	5000	Danke schön, hallo und herzlich willkommen zu MySink, ich, die Show.
5000	9000	Folge 13, die Glückssendung nach der Sommerpause.
9000	11000	Und habt ihr Bock auf Wissenschaft?
15000	18000	Habe ich dir doch Bock gedacht, also ich habe richtig Bock.
31000	41000	So Leute, was ihr da gerade gesehen habt, ist der Anfang von dem neuesten MyLab Video.
41000	44000	Also es heißt irgendwie nicht mehr MyLab jetzt, aber egal.
44000	48000	Dieser, habt ihr Lust auf Wissenschaft?
48000	51000	Grinsch will ich es mal nennen.
51000	55000	Der, übrigens Grinsch ist voll das Scheißwort.
55000	61000	Fremdgem ist ein viel besseres deutsches Wort, was das viel besser klar artikuliert, was eigentlich das Problem ist dabei.
61000	68000	Ich finde das irgendwie super, das geht mir richtig nahe, wenn ich sowas sehe.
68000	77000	Also die meisten der Zielgruppe jetzt von MyLab und so, die haben natürlich gar keine Ahnung von Wissenschaft eigentlich.
77000	80000	Und irgendwie triggert das den Elitisten in mir.
80000	86000	Ich denke irgendwie das Andenken von Logik und Rationalität, das kann natürlich jeder.
86000	97000	Also da braucht man nicht irgendwie studieren, aber irgendwie dieses Eifern für oder das Abfeuern von Menschen, die irgendwie als Marketing die Sache mit der Wissenschaft hochhalten.
97000	105000	Das fördert meiner Meinung nach irgendwie diese Tendenz, sich unterordnen zu wollen und nicht selber nachdenken zu wollen.
105000	110000	Also irgendwie diese Gruppen-Vibes zu farmen, von wegen ich bin im richtigen Team.
110000	119000	Ich habe irgendwie einen besseren moralischen Status oder so und kann mich einfach über andere Sachen drüber stellen.
119000	122000	Das wird da so ein bisschen gefarmt, finde ich.
122000	128000	Und ich komme später noch auf die Homöopathie auch zu sprechen, weil in dem Video, das ist übrigens gar nicht schlecht.
129000	137000	Also die haben eine relativ witzige Aufstellung, wie so sozusagen Homöopathie richtig Banane ist und so und versuchen so ein bisschen das System zu hacken.
137000	140000	Das ist ganz witzig gemacht eigentlich.
140000	145000	Aber auf Homöopathie komme ich später noch zu sprechen.
145000	152000	Ein viel schlimmeres Beispiel für dieses Abfeuern von, also dieses Abfeuern von so genannter Wissenschaft ist halt sowas wie der Entropie-Kanal.
152000	158000	Und ich meine, ich habe ja damals dieses übelste Rahn-Video gemacht, wo ich völlig ausraste, weil mich der Typ richtig ankutzt.
158000	168000	Und durch dieses ganze Abfeuern, ich finde dadurch bekommt die Wissenschaft als solche auch so ein bisschen den Charakter von der Religion.
168000	177000	Also es gibt in der Wissenschaft auch sowas wie heilige Schriften und Märtyrer gibt es auch.
177000	183000	Und wenn irgendwie jemand mit einem weißen Kittel dem Papst was erzählen würde, dann würde der Papst das glauben.
183000	190000	Weil der Papst weiß ganz genau, okay, das ist hier die Sache mit der Wissenschaft, das ist legit. Davon gehe ich einfach mal aus.
190000	197000	Das heißt, es hat schon so den Charakter von so einer großen, weltumspannenden Religion, so ein bisschen.
197000	200000	Einfach weil die Überzeugungskraft so stark ist.
201000	205000	Natürlich ist sozusagen in den Grundfesten alles völlig anders als bei normalen Religionen.
205000	210000	Das ganze Prinzip basiert auf Rationalität, das ist ja genau das, was Sekten und Religionen nicht machen.
210000	214000	Und ich habe ja auch schon ein langes Video zu Religionen gemacht.
214000	221000	Es hat sich halt einfach rumgesprochen, dass Wissenschaft irgendwie eine korrekte Angelegenheit ist.
221000	229000	Und doch will Wissenschaft ja eigentlich sozusagen einen Diskurs haben und ein kritisches Denken erzeugen.
229000	237000	Und dieses Abfeiern über diese kommunifizierten Infotainment-Sachen, also diese Entwicklung, das ist halt irgendwie Kasualisierung.
237000	242000	Und ich finde, das arbeitet so ein bisschen in diese entgegengesetzte Richtung.
242000	246000	Also irgendwie fühlt sich das für mich einfach so an.
246000	255000	Und wenn ich dieses Fremdschämen-Moment fühle, dann ist für mich sozusagen dieses Gefühl ganz stark gerade.
255000	265000	Und ich persönlich, für mich ist es auch nach wie vor immer noch super schwer, gute von schlechter Wissenschaft zu unterscheiden.
