start	end	text
0	4800	Die Ursache für unsere Probleme, nochmal, ist nicht das Viagdgeld und auch nicht der Zins.
4800	8000	Die Ursache für unsere Probleme sind die sozialen Hierarchien,
8000	11680	die es gestatten, dass Macht grundsätzlich nach oben sich konzentriert.
25680	28920	Ich hab's ja schon mal in meinem Video über Zins gesagt.
28920	35000	Aber ich muss es, glaube ich, nochmal ein bisschen detaillierter erklären in einem
35000	40680	kurzen, prägnanten Video, was die Leute wirklich nicht verstehen bei der Sache mit den Zinsen und
40680	48560	dem Viagdgeld und ihrer Kritik am Viagdgeld. Es gibt Leute, die behaupten, weil wir Viagdgeld haben,
48560	58720	haben wir das Problem mit der Inflation bzw. haben wir das Problem mit den Machtherarchien
58720	63720	und diesen ganzen Scheiß. Sie sagen, der Zins ist irgendwie die Ursache für das Böse.
63720	70320	Und da muss ich auf jeden Fall mal eingerätschen und sagen, okay, die Leute haben hier,
70320	77240	was sie verwechseln ist, sie verwechseln das Symptom mit der Ursache. Im Zins manifestiert
77240	85080	sich etwas, nämlich die wahre Ursache. Der Zins ist nur ein Resultat daraus. Und ich hab's ja schon
85080	90560	erklärt, was man einfach beobachten kann. Und das ging schon vormark so, das war garantiert
90560	95200	vor 1000 Jahren schon so. Ich hab hier zwei Dinge. Die verstoffwechsel ich mit meiner Arbeitskraft zu
95200	100560	etwas anderem. Und diese beiden Dinge und meine Arbeitskraft kann ich einzeln dem Markt anbieten
100560	106440	und kriege dafür eine Bewertung. Das macht 1 Euro, das macht 1,20 Euro, das macht 3 Euro. Wenn ich
106440	111840	die alle zusammen addiere und mir diese Summe angucke und das Produkt, was ich aus diesen Dingen
111840	116480	mache mit meiner Arbeitskraft, höher bewertet wird als die Summe der Einzelteile, dann ist es
116480	121760	eine sinnvolle Aktion, das zu tun. Im wirtschaftlichen kapitalistischen Sinne habe ich da einen Mehrwert
121760	126600	erzeugt und der wird typischerweise abgeschöpft. Das Problem ist sozusagen bei uns, der Mehrwert
126600	129840	wird abgeschöpft und nach oben durchgereicht, weil wir in einer sozialen Hierarchie leben.
129840	134680	Und dazu habe ich schon Videos gemacht, was für ein Problem lösen Märkte eigentlich,
134680	138600	allokieren sie irgendwie die Ressourcen korrekt, bla bla bla. Das Ding ist, aus diesem Mechanismus,
138880	142280	weil ich ihn beobachten kann, macht es Sinn, wenn ich nicht weiß, was ich mit meinen 100 Euro mache,
142280	145400	dann verleihe ich sie lieber einem Kumpel, der weiß, was er mit 100 Euro macht, nämlich er
145400	150200	macht 110 Euro draus mit seiner Idee. Das heißt, wenn ich ihm 1 Euro Gebühr dafür abknöpfe und er
150200	155760	mir am Ende 101 Euro zurückzahlt, haben wir beide dabei Gewinne gemacht. Daraus entsteht Zins. Das
155760	160680	nenne ich später Zins. Und das denken die Leute halt einfach zu Ende und dann kommt am Ende dieser
160680	164640	Finanzkapitalismus dabei raus und dieser ganze Kram. Das, was ich in meinem Video über Zinsen
164640	172200	schon erklärt habe. Das heißt, der Zins entsteht nicht daraus, dass wir hier eine Geldschöpfung
172200	177880	haben mit Fiat-Geld, sondern das Fiat-Geld entsteht aus dem Konzept, dass wir überhaupt
177880	181680	Wachstumsprozesse sehen können. Und die manifestieren sich auch in dem Zuwachs von
181680	187680	Geld zum Beispiel. Wachstumsprozesse sehen wir sowieso. Überall zum Beispiel Menschen wachsen,
187680	194400	es werden mehr. Das heißt, da gibt es schon mal mehr Bedarf an Brötchen. Und jetzt ist das
194400	198600	normale Argument von so Bitcoin Bros und so. Die haben halt diese, die haben völlig eine
198600	201440	Vorstellung. Ist ja klar, ich habe ja schon tausendmal erklärt, die können kein Mathe und so.
201440	209240	Die behaupten jetzt zum Beispiel, wenn wir Bitcoin als Zahlung hätten und niemand anderes mehr,
209240	215080	nichts anderes verwenden würden. Bitcoin hat ja eine maximale Obergrenze. Das heißt,
215080	220520	es kann de facto auf dem Papier keine Inflation stattfinden. Das heißt, wir hätten auch kein
220520	225400	Fiat-Geld, sagen sie. Und damit wären jetzt alle Probleme gelöst. Ich erkläre euch aber mal,
225400	230160	was dann passieren würde. Wir würden trotzdem beobachten, dass wir Mehrwert generieren und
230160	236120	Wachstum. Wisst ihr, wie sich das dann manifestieren würde? Es kann sich ja schlecht darin manifestieren,
236120	239880	dass mehr Geld entsteht im Umlauf. Das kann nicht passieren, weil das nach oben gecapped.
239880	244000	Das ist aber im mathematischen Sinne überhaupt kein Problem. Es gibt nämlich eine Transformation,
244000	248440	die das klärt. Es gibt eine sehr einfache Transformation, die das Intervall von eins
248440	255320	bis unendlich auf einen Bruch von 0 bis 1 abbildet und sie heißt 1 durch x. Was wir jetzt schon haben,
255320	259560	ist, wenn ich ein Brötchen mit Bitcoin bezahlen wollen würde, dann würde ich ja nicht einen
259560	263640	Bitcoin rüberreichen, weil der im Moment irgendwie 20.000 Kohle wert ist. Ich würde einen Bruchteil
263640	268840	von Bitcoin rüberreichen. Konkret heißen die ja irgendwie sogar Satashis bei denen, aber auch die
268840	273000	sind nach unten gecapped. Das ist die kleinstmögliche Einheit. Was man in Wahrheit bräuchte, wäre
273000	279560	sozusagen einfach nur das Intervall von 0 bis 1, einen beliebigen Bruch. 1 durch 75.000 zum Beispiel
279560	282880	ist eine Zahl, die liegt zwischen 0 und 1, die ist sehr klein. Das multipliziere ich an einen
282880	287040	Bitcoin dran, dann habe ich ein 75.000 Ziel von einem Bitcoin, damit bezahle ich ein Brötchen.
287040	292960	Ich habe mir die Zahl gerade ausgedacht, spielt keine Rolle. Das heißt, ich kann de facto das,
292960	297080	was ich jetzt nicht mehr nach oben unendlich wachsen lassen kann, einfach gegen 0 unendlich
