start	end	text
0	5500	Darum geht es nämlich gar nicht. Es geht darum, dass sich sozusagen die klassische Mallorca-Hern-Rasse, will ich es mal nennen,
6000	11500	sich durch das Laut-Aussprechen von chauvinistischer, patriarchaler Scheiße besser fühlen kann.
12000	19500	Weil diese ganzen tollen Väter jetzt zum Beispiel zum Vatertag, was die so machen,
20000	25500	die würden niemals ihren eigenen Töchtern sowas wünschen, dass sie so belästigt wären zum Beispiel.
25500	30000	Aber sie können, aber sie wollen gerne offen sowas grölen können.
30500	37000	Und ich denke darum ist der Song so ein Erfolg, weil im Prinzip ist es sozusagen ein kulturelles Rivate-Hacking, so ein Song.
37500	42000	Deswegen ist der so krass erfolgreich geworden, weil es ermöglicht sozusagen einer starken Gruppe sozusagen,
42500	46000	also das ist ja das, was Männer gerne machen, gehen in eine Gruppe und zusammen sind sie dann stark,
46500	49000	weil sie eigentlich keine feikle Pislatten sind und so.
49500	53000	Und dann können sie aber in dieser Gruppe sprachlich übergriffig werden.
55500	74000	So Leute, alles in allem sind meine Videos ganz gut gealtert, finde ich.
74500	82000	Ich habe zum Beispiel damals relativ früh ein Video zum Parabelritter gemacht, woraufhin er das auch gesehen hat.
82000	90500	Und dann hinterher in einem anderen Video von ihm er so ein bisschen, ja ich bilde mir ein, sich das Herzen genommen hat,
91000	93500	was ich gesagt habe, ich verlinke euch auch dieses alte Video dazu.
94000	102500	Und ich hatte auch so ein anderes Video, wo ich so meine prophetischen Fähigkeiten bei Sinans Woche angewendet habe
103000	108500	und mir wurde dann hinterher angetragen, dass sozusagen ein Jahr später oder so meine Einschätzung ganz richtig war
109500	117000	von der Situation und so. Aber auch, muss ich sagen, hatte ich jetzt in der letzten Zeit viele kleine neue Erkenntnisse
117500	125000	und ich denke, es wird alles in allem mal wieder Zeit für so eine, ja was habe ich jetzt, 1450 Abo-Zusammenfassung.
125500	134000	Und ich beginne mal mit so einer grundlegenden Beobachtung, nämlich ursprünglich dachten wir,
134000	142500	als die Physik soweit war, die Newton-Mechanik ist der Shit, weil die auch intuitiv Sinn gemacht hat für jeden Physiker
143000	146500	und die Leute dachten, ok, jetzt haben wir es geklärt, die Welt ist geklärt, wir haben die Physik durchgespielt
147000	152500	und am Ende kam aber heraus, stimmt gar nicht, eigentlich ist Quantenmechanik und ART der beste Shit
153000	156500	und das sind ja auch die beiden best geprüften naturwissenschaftlichen Theorien, die wir haben.
157000	163500	Das einzige Problem ist dabei, die sind komplett unintuitiv. Die sind genauso, wie wir es uns nicht vorstellen würden.
164000	170500	Wie die Welt funktioniert und ein ganz ähnliches Ding, also das ist sozusagen schon fast so eine Art Kränkung für den menschlichen Intellekt,
171000	173500	dass wir irgendwie eine Intuition haben und die ist komplett falsch.
174000	179500	Und so ein ähnliches Ding ist die Illusion des freien Willens, das ist ja jetzt nichts Neues hier für euch auf dem Kanal,
180000	184500	aber da ist es auch so, am Anfang dachten sozusagen alle, ja der freie Wille ist doch eine klare Sache und so,
185000	189500	aber jetzt wird es aber auch wirklich schlussendlich völlig klar, auch durch andere wissenschaftliche Disziplinen
189500	196000	wie Neuro und Psychologie und was auch immer und natürlich auch Physik, dass das eine Illusion ist.
196500	202000	Und ganz ähnlich zu, wir haben hier eine Intuition und die lenkt uns völlig in die falsche Richtung,
202500	209000	so ähnlich ist es auch zum Beispiel mit so einen typischen Aussagen, in die natürlich gerne Rechte reinfallen so von wegen,
209500	215000	ja man muss die Bestrafungen oder die Gesetze irgendwie härter machen, um zukünftig eine abschreckende Wirkung zu haben.
216000	219500	Dabei ist das überhaupt nicht das, was die Sozialforschung uns bietet.
220000	224500	Man steht sogar das Gegenteil fest, wenn man die Strafen immer weiter hoch ansetzt, führt das dazu,
225000	229500	dass Individuen eher dazu neigen, früher straffällig zu werden, weil sie sich denken, okay,
230000	233500	der Trade-Off, den man macht für den Fall, dass man erwischt wird, ist so groß,
234000	239500	dass man schneller nichts mehr zu verlieren hat nach dem Motto.
240500	247000	Und ganz ähnliches Ding, ich habe ja jetzt nochmal extra sogar ein Video zum Schwurbeln im Sinne von Inflation gemacht,
247500	251000	da ist es auch so, diese grundlegende Annahme, und auf die komme ich gleich auch nochmal zu sprechen,
251500	257000	von wegen Geldmengenausweitung hat was mit Inflation zu tun, ist halt wirklich doof und kann halt nicht beobachtet werden.
257500	262000	Genauso ist es mit diesen einfachen Beobachtungen von wegen Angebot und Nachfrage,
262500	266000	die irgendwie auf dem Mikrolevel total Sinn ergeben für den Einzelnen,
266000	270500	ergibt es einfach total Sinn, sich das vorzustellen, dass Angebot und Nachfrage so monotone Eigenschaften haben,
271000	277500	diese Kurven, es ist aber halt einfach mal so, dass sie auf dem Marktlevel nicht beobachtet werden können,
278000	283500	und das ist auch so ein Ding, wo schon wieder unsere Intuition völlig kaputt geht,
284000	288500	wenn wir über solche Systeme nachdenken wollen, und ja, bei Sprache ist es auch so,
289000	293500	es gab irgendwie ein paar hundert Jahre Sprachforschung, und am Ende kommt jetzt sozusagen als nächste Kränkung noch draus,
294500	300000	das war alles irgendwie ganz schön und klingt auch gut und macht irgendwie Sinn,
300500	305000	wenn man diese Bücher liest oder was auch immer, aber in Wahrheit sind die LLMs einfach der Killer,
305500	312000	und die haben jetzt viel mehr geleistet schon in den letzten zehn Jahren, als die komplette Sprachforschung vorher,
312500	319000	so nach dem Motto, und ja, alles in allem, würde ich sagen, wir haben jetzt irgendwie immer so mikroskopische Modelle,
319500	323000	von denen wir uns vorstellen, wie es läuft, weil wir einfach von uns auf andere schließen,
323500	327000	von uns auf die Welt schließen quasi, und unsere Modelle dann extra polieren wollen,
327500	330000	fallen aber sofort irgendwie auf die Schnauze damit und müssen dann immer hinnehmen,
330500	333000	dass unsere Intuition im Ergänz überhaupt nicht greifen kann.
333500	339000	Das ist so eine Kränkung unseres Verstandes, denke ich, und ja, ich hatte jetzt, wie gesagt,
339500	343000	im Laufe der Zeit einige noch Erkenntnisse, die ich so zusammenfassen will jetzt hier,
343500	347000	weil ich irgendwie, die sind zu kurz, um dazu jeweils ein Video zu machen oder so,
347500	350000	und ich habe im Moment auch nicht so viel Zeit, jetzt so viele Videos zu machen,
350000	353500	deswegen kompensiere ich das jetzt in einem Video.
354000	359500	Und ich hatte zum Beispiel den Tag so einen Gedanken, ist Dezentralisierung eigentlich immer gut?
360000	363500	Ich bin ja so quasi, dass ich denke, okay, Dezentralisierung ist der Shit,
364000	367500	aber es gibt natürlich Dinge, wo es Sinn macht, sich auf irgendwas zu einigen,
368000	370500	dass alle irgendwie nach einem Muster oder so funktionieren,
371000	375500	und das ist typischerweise zum Beispiel bei manchen Businessmodellen so,
376000	378500	also zum Beispiel Online-Multiplayer-Games funktionieren nur deswegen,
378500	380000	weil viele mitspielen.
380500	383000	Also sagen wir mal bei Counter Strike GO ist es ja mittlerweile so,
383500	387000	man drückt auf den Button und dann wird man zufällig mit anderen Spielern zusammengewürfelt
387500	389000	und dann passiert irgendwas.
