start	end	text
0	2000	I'm not going to be able to do that.
2000	4000	I'm not going to be able to do that.
4000	6000	I'm not going to be able to do that.
6000	8000	I'm not going to be able to do that.
8000	10000	I'm not going to be able to do that.
10000	12000	I'm not going to be able to do that.
12000	14000	I'm not going to be able to do that.
14000	16000	I'm not going to be able to do that.
16000	18000	I'm not going to be able to do that.
18000	20000	I'm not going to be able to do that.
20000	22000	I'm not going to be able to do that.
22000	24000	I'm not going to be able to do that.
24000	26000	I'm not going to be able to do that.
26000	28000	I'm going to be able to do that.
28000	30000	I'm not going to be able to do that.
30000	32000	I'm not going to be able to do that.
32000	34000	I'm not going to be able to do that.
34000	36000	I'm not going to be able to do that.
36000	38000	I'm not going to be able to do that.
38000	40000	I'm not going to be able to do that.
40000	42000	I'm not going to be able to do that.
42000	44000	I'm not going to be able to do that.
44000	46000	I'm not going to be able to do that.
46000	48000	I'm not going to be able to do that.
48000	50000	I'm not going to be able to do that.
50000	52000	I'm not going to be able to do that.
52000	54000	I'm not going to be able to do that.
54000	56000	I'm not going to be able to do that.
56000	58000	I'm not going to be able to do that.
58000	60000	I'm not going to be able to do that.
60000	62000	I'm not going to be able to do that.
62000	64000	I'm not going to be able to do that.
64000	66000	I'm not going to be able to do that.
66000	68000	I'm not going to be able to do that.
68000	70000	I'm not going to be able to do that.
70000	72000	I'm not going to be able to do that.
72000	74000	I'm not going to be able to do that.
74000	76000	I'm not going to be able to do that.
76000	78000	I'm not going to be able to do that.
78000	80000	I'm not going to be able to do that.
80000	82000	I'm not going to be able to do that.
82000	84000	I'm not going to be able to do that.
84000	86000	I'm not going to be able to do that.
86000	88000	I'm not going to be able to do that.
88000	90000	I'm not going to be able to do that.
90000	92000	I'm not going to be able to do that.
92000	94000	I'm not going to be able to do that.
94000	96000	I'm not going to be able to do that.
96000	98000	I'm not going to be able to do that.
98000	100000	I'm not going to be able to do that.
100000	102000	I'm not going to be able to do that.
102000	104000	I'm not going to be able to do that.
104000	106000	I'm not going to be able to do that.
106000	108000	I'm not going to be able to do that.
108000	110000	I'm not going to be able to do that.
110000	112000	I'm not going to be able to do that.
112000	114000	I'm not going to be able to do that.
114000	116000	I'm not going to be able to do that.
116000	118000	I'm not going to be able to do that.
118000	120000	I'm not going to be able to do that.
120000	122000	I'm not going to be able to do that.
122000	124000	I'm not going to be able to do that.
124000	126000	I will admit you don't put your work inside you.
126000	128000	I'll admit you don't put your work inside you.
128000	130000	No, I won't department ever.
130000	132000	No, I won't.
132000	134000	No daddy.
134000	136000	Don't humor me.
136000	138000	No, I won't.
138000	140000	No daddy.
140000	140640	This is only for you.
140640	141440	You're mine, the GDP.
141440	142300	So what's the big deal?
142440	168480	The
