start	end	text
0	2000	Now, I'm going to show you how to do it.
2000	4000	I'm going to show you how to do it.
4000	6000	Now, I'm going to show you how to do it.
6000	8000	I'm going to show you how to do it.
8000	10000	Now, I'm going to show you how to do it.
10000	12000	Now, I'm going to show you how to do it.
12000	14000	Now, I'm going to show you how to do it.
14000	16000	Now, I'm going to show you how to do it.
16000	18000	Now, I'm going to show you how to do it.
18000	20000	Now, I'm going to show you how to do it.
20000	22000	Now, I'm going to show you how to do it.
22000	24000	Now, I'm going to show you how to do it.
24000	26000	Now, I'm going to show you how to do it.
26000	28000	Now, I'm going to show you how to do it.
28000	30000	Now, I'm going to show you how to do it.
30000	32000	Now, I'm going to show you how to do it.
32000	34000	Now, I'm going to show you how to do it.
34000	36000	Now, I'm going to show you how to do it.
36000	38000	Now, I'm going to show you how to do it.
38000	40000	Now, I'm going to show you how to do it.
40000	42000	Now, I'm going to show you how to do it.
42000	44000	Now, I'm going to show you how to do it.
44000	46000	Now, I'm going to show you how to do it.
46000	48000	Now, I'm going to show you how to do it.
48000	50000	Now, I'm going to show you how to do it.
52000	54000	Now, I'm going to show you how to do it.
54000	56000	Now, I'm going to show you how to do it.
56000	58000	Now, I'm going to show you how to do it.
58000	60000	Now, I'm going to show you how to do it.
60000	62000	Now, I'm going to show you how to do it.
62000	64000	Now, I'm going to show you how to do it.
64000	66000	Now, I'm going to show you how to do it.
66000	68000	Now, I'm going to show you how to do it.
68000	70000	Now, I'm going to show you how to do it.
70000	72000	Now, I'm going to show you how to do it.
72000	74000	Now, I'm going to show you how to do it.
74000	76000	Now, I'm going to show you how to do it.
76000	78000	Now, I'm going to show you how to do it.
78000	80000	Now, I'm going to show you how to do it.
82000	84000	Now, I'm going to show you how to do it.
84000	86000	Now, I'm going to show you how to do it.
86000	88000	Now, I'm going to show you how to do it.
88000	90000	Now, I'm going to show you how to do it.
90000	92000	Now, I'm going to show you how to do it.
92000	94000	Now, I'm going to show you how to do it.
96000	98000	Now, I'm going to show you how to do it.
98000	100000	Now, I'm going to show you how to do it.
100000	102000	Now, I'm going to show you how to do it.
102000	104000	Now, I'm going to show you how to do it.
104000	106000	Now, I'm going to show you how to do it.
108000	110000	Now, I'm going to show you how to do it.
110000	112000	Now, I'm going to show you how to do it.
112000	114000	I don't know what you're talking about.
114000	116000	I don't know what you're talking about.
116000	118000	I don't know what you're talking about.
118000	120000	I don't know what you're talking about.
120000	122000	I don't know what you're talking about.
122000	124000	I don't know what you're talking about.
124000	126000	I don't know what you're talking about.
126000	128000	I don't know what you're talking about.
128000	130000	I don't know what you're talking about.
130000	132000	I don't know what you're talking about.
132000	134000	I don't know what you're talking about.
134000	136000	I don't know what you're talking about.
136000	138000	I don't know.
138000	140000	I don't know what you're talking about.
140000	142000	I don't know what you're talking about.
142000	144000	I don't know what you're talking about.
144000	146000	I don't know what you're talking about.
146000	148000	I don't know what you're talking about.
148000	150000	I don't know what you're talking about.
150000	152000	I don't know.
152000	154000	I don't know what you're talking about.
154000	156000	I don't know what you're talking about.
156000	158000	I don't know what you're talking about.
158000	160000	I don't know what you're talking about.
