start	end	text
0	2000	I don't know what to do with you.
2000	4000	I don't know what to do with you.
4000	6000	I don't know what to do with you.
6000	8000	I don't know what to do with you.
8000	10000	I don't know what to do with you.
10000	12000	I don't know what to do with you.
12000	14000	I don't know what to do with you.
14000	16000	I don't know what to do with you.
16000	18000	I don't know what to do with you.
18000	20000	I don't know what to do with you.
20000	22000	I don't know what to do with you.
24000	26000	I don't know what to do with you.
26000	28000	I don't know what to do with you.
28000	30000	I don't know what to do with you.
30000	32000	I really don't know what to do with you.
32000	37340	I really don't know what to do with
37340	39340	you.
39340	41340	I don't know what to do with you.
41340	43080	I don't know what to do with you.
43080	45080	I don't know what to do with you.
49000	51000	You know I don't know what to do with you.
51000	53800	I don't know what to do with you.
53800	55540	I don't know what to do with you.
55540	57040	and uh
57040	87040	I don't know if you can hear me, but I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can
87040	96520	hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can
96520	110300	hear you, I can hear you, I can hear you, I can hear you, I can hear you, I can
110300	113300	I don't know what you're talking about, but I don't know what you're talking about.
113300	115300	I don't know what you're talking about.
115300	117300	I don't know what you're talking about.
117300	119300	I don't know what you're talking about.
119300	121300	I don't know what you're talking about.
121300	123300	I don't know what you're talking about.
123300	125300	I don't know what you're talking about.
125300	127300	I don't know what you're talking about.
127300	129300	I don't know what you're talking about.
129300	131300	I don't know what you're talking about.
131300	133300	I don't know what you're talking about.
133300	135300	I don't know what you're talking about.
135300	137300	I don't know what you're talking about.
137300	139300	I don't know what you're talking about.
139300	141300	I don't know what you're talking about.
141300	143300	I don't know what you're talking about.
143300	145300	I don't know what you're talking about.
145300	147300	I don't know what you're talking about.
147300	149300	I don't know what you're talking about.
149300	151300	I don't know what you're talking about.
151300	153300	I don't know what you're talking about.
153300	155300	I don't know what you're talking about.
155300	157300	I don't know what you're talking about.
157300	159300	I don't know what you're talking about.
159300	161300	I don't know what you're talking about.
161300	163300	I don't know what you're talking about.
163300	165300	I don't know what you're talking about.
165300	167300	I don't know what you're talking about.
167300	169300	I don't know what you're talking about.
169300	171300	I don't know what you're talking about.
171300	173300	I don't know what you're talking about.
173300	175300	I don't know what you're talking about.
175300	177300	I don't know what you're talking about.
177300	179300	I don't know what you're talking about.
179300	181300	I don't know what you're talking about.
181300	183300	I don't know what you're talking about.
183300	185300	I don't know what you're talking about.
185300	187300	I don't know what you're talking about.
187300	189300	I don't know what you're talking about.
189300	191300	I don't know what you're talking about.
191300	193300	I don't know what you're talking about.
193300	195300	I don't know what you're talking about.
195300	197300	So, I'm going to show you how to do it.
197300	199300	So, I'm going to show you how to do it.
199300	201300	So, I'm going to show you how to do it.
201300	203300	So, I'm going to show you how to do it.
203300	205300	So, I'm going to show you how to do it.
205300	207300	So, I'm going to show you how to do it.
207300	209300	So, I'm going to show you how to do it.
209300	211300	So, I'm going to show you how to do it.
211300	213300	So, I'm going to show you how to do it.
213300	215300	So, I'm going to show you how to do it.
215300	217300	So, I'm going to show you how to do it.
217300	219300	So, I'm going to show you how to do it.
219300	221300	So, I'm going to show you how to do it.
221300	223300	So, I'm going to show you how to do it.
223300	225300	So, I'm going to show you how to do it.
225300	227300	So, I'm going to show you how to do it.
227300	229300	So, I'm going to show you how to do it.
229300	231300	So, I'm going to show you how to do it.
231300	233300	So, I'm going to show you how to do it.
233300	235300	So, I'm going to show you how to do it.
235300	237300	So, I'm going to show you how to do it.
237300	239300	So, I'm going to show you how to do it.
239300	241300	So, I'm going to show you how to do it.
241300	243300	So, I'm going to show you how to do it.
245300	247300	So, I'm going to show you how to do it.
247300	249300	So, I'm going to show you how to do it.
