start	end	text
0	2000	I'm going to show you how to do it.
2000	4000	I'm going to show you how to do it.
4000	6000	I'm going to show you how to do it.
6000	8000	I'm going to show you how to do it.
8000	10000	I'm going to show you how to do it.
10000	12000	I'm going to show you how to do it.
12000	14000	I'm going to show you how to do it.
14000	16000	I'm going to show you how to do it.
16000	18000	I'm going to show you how to do it.
18000	20000	I'm going to show you how to do it.
20000	22000	I'm going to show you how to do it.
24000	26000	I'm going to show you how to do it.
26000	28000	I'm going to show you how to do it.
28000	30000	I'm going to show you how to do it.
30000	32000	I'm going to show you how to do it.
32000	34000	I'm going to show you how to do it.
34000	36000	I'm going to show you how to do it.
36000	38000	I'm going to show you how to do it.
38000	40000	I'm going to show you how to do it.
40000	42000	I'm going to show you how to do it
44000	46000	I'm going to show you how to do it.
46000	48000	I'm going to show you how to do it.
48000	50000	I'm going to show you how to do it.
50000	52000	I'm going to show youfire
52000	54000	I'm going to show you how to do it.
54000	56000	I'm going to show you how to do it.
56000	86000	I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not
86000	98880	sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sure if you can hear me, but I get it, but I'm not sure if you can hear him.
98880	108220	I'm not sure if you can hear me, but I'm not sure if you can hear me, but I'm not sureik that id or how
