start	end	text
0	2000	So, let's see if we can do it.
10000	12000	Let's see if we can do it.
22000	24000	Okay.
24000	26000	Okay.
33000	35000	Okay.
39000	41000	Okay.
48000	50000	Well, now what?
54000	80680	The
80680	110680	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
110680	138940	I'm sorry I'm sorry but the
138940	168940	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
168940	173020	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
194680	195240	Is it good
198940	228940	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
228940	245740	I'm sorry, I'm sorry, I'm sorry, I'm sorry
245740	251720	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
251720	254720	I don't know what to do with you, but I'm going to kill you.
254720	257720	I don't know what to do with you, but I'm going to kill you.
257720	260720	I don't know what to do with you, but I'm going to kill you.
260720	263720	I don't know what to do with you, but I'm going to kill you.
263720	266720	I don't know what to do with you, but I'm going to kill you.
266720	269720	I don't know what to do with you, but I'm going to kill you.
269720	272720	I don't know what to do with you, but I'm going to kill you.
272720	275720	I don't know what to do with you, but I'm going to kill you.
275720	278720	I don't know what to do with you, but I'm going to kill you.
