start	end	text
0	5000	This is the first time I've ever seen such a thing.
5000	8000	I've never seen such a thing before.
8000	11000	I've never seen such a thing before.
11000	14000	I've never seen such a thing before.
14000	17000	I've never seen such a thing before.
17000	20000	I've never seen such a thing before.
20000	23000	I've never seen such a thing before.
23000	26000	I've never seen such a thing before.
26000	29000	I've never seen such a thing before.
29000	32000	I've never seen such a thing before.
32000	35000	I've never seen such a thing before.
35000	38000	I've never seen such a thing before.
38000	41000	I've never seen such a thing before.
41000	44000	I've never seen such a thing before.
44000	47000	I've never seen such a thing before.
47000	50000	I've never seen such a thing before.
50000	53000	I've never seen such a thing before.
53000	56000	I've never seen such a thing before.
56000	59000	I've never seen such a thing before.
59000	62000	I've never seen such a thing before.
62000	65000	I've never seen such a thing before.
65000	68000	I've never seen such a thing before.
68000	71000	I've never seen such a thing before.
71000	74000	I've never seen such a thing before.
74000	77000	I've never seen such a thing before.
77000	80000	I've never seen such a thing before.
80000	83000	I've never seen such a thing before.
83000	86000	I've never seen such a thing before.
86000	89000	I've never seen such a thing before.
89000	92000	I've never seen such a thing before.
92000	95000	I've never seen such a thing before.
95000	98000	I've never seen such a thing before.
98000	101000	I've never seen such a thing before.
101000	104000	I've never seen such a thing before.
104000	107000	I've never seen such a thing before.
107000	110000	I've never seen such a thing before.
110000	113000	I've never seen such a thing before.
113000	116000	I've never seen such a thing before.
116000	119000	I've never seen such a thing before.
119000	122000	I've never seen such a thing before.
122000	125000	I've never seen such a thing before.
125000	128000	I've never seen such a thing before.
128000	131000	I've never seen such a thing before.
131000	134000	I've never seen such a thing before.
134000	137000	I've never seen such a thing before.
137000	140000	I've never seen such a thing before.
140000	143000	I've never seen such a thing before.
143000	146000	I've never seen such a thing before.
146000	149000	I've never seen such a thing before.
149000	152000	I've never seen such a thing before.
152000	155000	I've never seen such a thing before.
155000	158000	I've never seen such a thing before.
158000	161000	I've never seen such a thing before.
162000	165000	I've never seen such a thing before.
165000	168000	I've never seen such a thing before.
168000	171000	I've never seen such a thing before.
171000	174000	I've never seen such a thing before.
174000	177000	I've never seen such a thing before.
177000	180000	I've never seen such a thing before.
180000	183000	I've never seen such a thing before.
183000	186000	I've never seen such a thing before.
186000	189000	It's like a preferences.
189000	219000	I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry, I'm sorry
219000	229720	I'm sorry.
229720	259720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that
259720	261720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
261720	262720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
262720	263720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
263720	264720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
264720	265720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
265720	266720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
266720	267720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
267720	268720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
268720	269720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
269720	270720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
270720	271720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
271720	272720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
272720	273720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
273720	274720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
274720	275720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
275720	276720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
276720	277720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
277720	278720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
278720	279720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
279720	280720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
280720	281720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
281720	282720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm
282720	283720	not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
283720	284720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do
284720	285720	that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
285720	286720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
286720	287720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going
287720	288720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
288720	289720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm
289720	290720	not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
290720	291720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
291720	292720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
292720	293720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
293720	294720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
294720	295720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
295720	296720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
296720	297720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
297720	298720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
298720	299720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
299720	300720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
300720	301720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
301720	302720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
302720	303720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
303720	304720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
304720	305720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
305720	306720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
306720	307720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
307720	308720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
308720	309720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
309720	310720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
310720	311720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
311720	312720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
312720	313720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
313720	314720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
314720	315720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
315720	316720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
316720	317720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
317720	318720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
318720	319720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
319720	320720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
320720	321720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
321720	322720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
322720	323720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
323720	324720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
324720	325720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
325720	326720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
326720	327720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
327720	328720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
328720	329720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
329720	330720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
330720	331720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
331720	332720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
332720	333720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
333720	334720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
334720	335720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
335720	336720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
336720	337720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
337720	338720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm
338720	339720	not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
339720	340720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
340720	341720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
341720	342720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
342720	343720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
343720	344720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
344720	345720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
345720	346720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
346720	347720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
347720	348720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
348720	349720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
349720	350720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
350720	351720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
351720	352720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
352720	353720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
353720	354720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
354720	355720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm
355720	356720	not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
356720	357720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
357720	358720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
358720	359720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
359720	360720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
360720	361720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
361720	362720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
362720	363720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
363720	364720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
364720	365720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not going
365720	366720	to do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
366720	367720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
367720	368720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
368720	369720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
369720	370720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
370720	371720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
371720	372720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
372720	373720	I'm not going to do that, I'm not going to do that, I'm not going to do that, I'm not
373720	374720	going to do that, I'm not going to do that, I'm not going to do that, I'm not going to
374720	375720	do that, I'm not going to do that, I'm not going to do that, I'm not going to do that,
