start	end	text
0	2000	I don't know what you're talking about.
2000	4000	I don't know what you're talking about.
4000	6000	I don't know what you're talking about.
6000	8000	I don't know what you're talking about.
8000	10000	I don't know what you're talking about.
10000	12000	I don't know what you're talking about.
12000	14000	I don't know what you're talking about.
14000	16000	I don't know what you're talking about.
16000	18000	I don't know what you're talking about.
18000	20000	I don't know what you're talking about.
20000	22000	I don't know what you're talking about.
22000	24000	I don't know what you're talking about.
24000	26000	I don't know.
26000	28000	I don't know what you're talking about.
28000	30000	I don't know.
30000	32000	I don't know what you're talking about.
32000	34000	I don't know what you're talking about.
34000	36000	I don't know what you're talking about.
36000	38000	I don't know what you're talking about.
38000	40000	I don't know what you're talking about.
40000	42000	I don't know what you're talking about.
42000	44000	I don't know what you're talking about.
44000	46000	I don't know what you're talking about.
46000	48000	I don't know what you're talking about.
48000	50000	I don't know what you're talking about.
50000	52000	I don't know what you're talking about.
52000	54000	I don't know what you're talking about.
54000	56000	I don't know what you're talking about.
56000	58000	I don't know what you're talking about.
58000	60000	I don't know what you're talking about.
60000	62000	I don't know what you're talking about.
62000	64000	I don't know what you're talking about.
66000	68000	I don't know what you're talking about.
68000	70000	I don't know.
70000	72000	I don't know.
72000	74000	I don't know what you're talking about.
74000	76000	I don't know what you're talking about.
76000	78000	I don't know what you're talking about.
78000	80000	I don't know what you're talking about.
82000	84000	Let me explain.
84000	88000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
88000	90000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
90000	92000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
92000	94000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
94000	96000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
96000	98000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
98000	100000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
100000	102000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
102000	104000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
104000	106000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
106000	108000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
108000	110000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
110000	112000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
112000	114000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
114000	116000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
116000	118000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
118000	120000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
120000	122000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
122000	124000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
124000	126000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
126000	128000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
128000	130000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
130000	132000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
132000	134000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
134000	136000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
136000	138000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
138000	140000	I'm not sure if this is the right way to do it, but I'm sure it's the right way to do it.
