start	end	text
0	4000	This is the first time I've ever seen this in real life.
4000	6000	I've never seen this in real life.
6000	8000	I've never seen this in real life.
8000	10000	I've never seen this in real life.
10000	12000	I've never seen this in real life.
12000	14000	I've never seen this in real life.
14000	16000	I've never seen this in real life.
16000	18000	I've never seen this in real life.
18000	20000	I've never seen this in real life.
20000	22000	I've never seen this in real life.
22000	24000	I've never seen this in real life.
24000	28000	I've never seen this in real life.
28000	30000	I've never seen this in real life.
30000	32000	I've never seen this in real life.
32000	34000	I've never seen this in real life.
34000	36000	I've never seen this in real life.
36000	38000	I've never seen this in real life.
38000	40000	I've never seen this in real life.
40000	42000	I've never seen this in real life.
42000	44000	I've never seen this in real life.
44000	46000	I've never seen this in real life.
46000	48000	I've never seen this in real life.
48000	50000	I've never seen this in real life.
50000	52000	I've never seen this in real life.
52000	54000	I've never seen this in real life.
54000	56000	I've never seen this in real life.
56000	58000	I've never seen this in real life.
58000	60000	I've never seen this in real life.
60000	62000	I've never seen this in real life.
62000	64000	I've never seen this in real life.
64000	66000	I've never seen this in real life.
66000	68000	I've never seen this in real life.
68000	70000	I've never seen this in real life.
70000	72000	I've never seen this in real life
72000	74000	I've never seen this in real life.
74000	76000	I've never seen this in real life.
76000	78000	I've never seen this in real life.
78000	80000	I've never seen this in real life.
80000	83000	I'm going to try to make it a little bit easier for you to see.
83000	84000	I'm going to try to make it a little bit easier for you to see.
84000	85000	I'm going to try to make it a little bit easier for you to see.
85000	86000	I'm going to try to make it a little bit easier for you to see.
86000	87000	I'm going to try to make it a little bit easier for you to see.
87000	88000	I'm going to try to make it a little bit easier for you to see.
88000	89000	I'm going to try to make it a little bit easier for you to see.
89000	90000	I'm going to try to make it a little bit easier for you to see.
90000	91000	I'm going to try to make it a little bit easier for you to see.
91000	92000	I'm going to try to make it a little bit easier for you to see.
92000	93000	I'm going to try to make it a little bit easier for you to see.
93000	94000	I'm going to try to make it a little bit easier for you to see.
94000	95000	I'm going to try to make it a little bit easier for you to see.
95000	96000	I'm going to try to make it a little bit easier for you to see.
96000	97000	I'm going to try to make it a little bit easier for you to see.
97000	98000	I'm going to try to make it a little bit easier for you to see.
98000	99000	I'm going to try to make it a little bit easier for you to see.
99000	100000	I'm going to try to make it a little bit easier for you to see.
100000	101000	I'm going to try to make it a little bit easier for you to see.
101000	102000	I'm going to try to make it a little bit easier for you to see.
102000	103000	I'm going to try to make it a little bit easier for you to see.
103000	104000	I'm going to try to make it a little bit easier for you to see.
105000	106000	I'm going to try to make it a little bit easier for you to see.
106000	107000	I'm going to try to make it a little bit easier for you to see.
107000	108000	I'm going to try to make it a little bit easier for you to see.
108000	109000	I'm going to try to make it a little bit easier for you to see.
109000	110000	I'm going to try to make it a little bit easier for you to see.
110000	111000	I'm going to try to make it a little bit easier for you to see.
111000	112000	I'm going to try to make it a little bit easier for you to see.
112000	113000	I'm going to try to make it a little bit easier for you to see.
113000	114000	I'm going to try to make it a little bit easier for you to see.
114000	115000	I'm going to try to make it a little bit easier for you to see.
115000	116000	I'm going to try to make it a little bit easier for you to see.
116000	117000	I'm going to try to make it a little bit easier for you to see.
117000	118000	I'm going to try to make it a little bit easier for you to see.
118000	119000	I'm going to try to make it a little bit easier for you to see.
119000	120000	I'm going to try to make it a little bit easier for you to see.
120000	121000	I'm going to try to make it a little bit easier for you to see.
121000	122000	I'm going to try to make it a little bit easier for you to see.
122000	123000	I'm going to try to make it a little bit easier for you to see.
123000	124000	I'm going to try to make it a little bit easier for you to see.
124000	125000	I'm going to try to make it a little bit easier for you to see.
125000	126000	I'm going to try to make it a little bit easier for you to see.
126000	127000	I'm going to try to make it a little bit easier for you to see.
128000	129000	I'm going to try to make it a little bit easier for you to see.
129000	130000	I'm going to try to make it a little bit easier for you to see.
130000	131000	I'm going to try to make it a little bit easier for you to see.
131000	132000	I'm going to try to make it a little bit easier for you to see.
