start	end	text
0	15480	Test. Test, Test. So Leute, es gab mal eine Zeit, da bin ich in so Übungen rein und
15480	19320	habe Leuten was vorgerechnet und da habe ich mich nicht wirklich vorbereitet oder so
19320	25960	und so ist das heute auch. Ich habe mir nur ein paar Stichpunkte gemacht und für später
25960	37360	noch ein Zettel mit so ein paar mit so ein paar Sachen. Aber sonst, was mache ich heute?
37360	47960	Ich habe mir überlegt, ich weiß ja, die Leute brauchen Beispiele und es ist so, ich fange
47960	51960	gleich mit einem Anwendungsbeispiel an, mit einem konkreten Ding, von dem ich glaube,
51960	59520	dass es die meisten gar nicht auf dem Schirm haben, dass es schon da ist und zwar GPT-3. Das
59520	66720	ist im Prinzip einfach nur ein Sprachmodell, was mit extrem vielen Parametern trainiert wurde und
66720	71800	für normale Menschen, denen kommt es schon so vor, als wäre da ein echter Mensch, mit denen sie
71800	78160	reden. Und ich zeige euch das gleich als Beispiel und danach, was mache ich danach? Danach hole ich
78160	85840	weit aus. Ich habe vor, so ein bisschen Mathematik zu machen. Alles, damit ihr am Ende ungefähr
85840	95440	begreifen könnt, was notwendig ist, um sowas wie GPT-3 zu bauen bzw. das, was die KI-Forscher
95440	100800	lernen nennen in Deep Learning. Es ist nicht so, dass ihr das am Ende dann verstanden habt,
100800	107160	sondern ihr habt das Rüstzeug, um euch selber was drauf zu schaffen. Das ist im Prinzip meine Idee.
107160	113640	Ich will euch sozusagen meinen Erkenntnisgang nachvollziehbar machen. Bei mir ist es so,
113640	118280	ich hatte das große Privileg, lange an der Hochschule rumzuschimmeln und natürlich habe
118280	123560	ich Physik studiert, aber danach hatte ich immer noch die Möglichkeit, mir andere Sachen drauf zu
123560	128040	ziehen. Zum Beispiel hatte ich mal einen Workshop mitgemacht, eine Woche lang, jeden Tag fünf
128040	134000	Stunden Vorlesung bei so einem Typen, der gerade eine Professur angefangen hat zum Thema KI und
134040	137680	da habe ich mir sozusagen die Grundlagen drauf geschafft bei den Typen und ich bilde mir halt
137680	148000	ein, dass ich genug verstanden habe, um das zu vermitteln. Es ist halt auch so, abgesehen davon
148000	153880	habe ich sonst Medizintechnik gemacht und da schreibe ich auch meine Doktorarbeit drüber und
153880	158640	da gibt es ein extrem gutes Anwendungsbeispiel, was im Prinzip mit Geometrie auskommt und dass
