start	end	text
0	20360	Also ich hab ja gestern was ganz Schlimmes gesehen und das hat mich total getriggert und
20360	25040	jetzt hab ich mir nicht, dann hab ich ein Video aufgenommen, dass ich da total wegkrannte
25040	30240	und ich komme rüber wie der letzte elitäre Wichser und ich muss sagen, so ist es auch,
30240	35600	ich bin ein richtig elitärer Wichser was das angeht und das ist vergleichbar mit wenn so
35600	39720	Metal Fans, was mich zum Beispiel auch nicht unbedingt stört, die voll ausrasten wenn die
39720	45720	Kardashians oder andere Promis jetzt Metal-T-Shirts tragen. Das ist dann einfach... da kotzen die
45720	51840	ab, das können die nicht ab und so geht es mir in dem Video und jetzt habe ich das Video
51840	54840	aufgenommen. Ich hatte lange über einen, glaube ich jetzt wirklich Upload oder so,
54840	61520	aber es ist auch eine persönliche Note, die kann man ruhig mal auf einem Meinungskanal
61520	69600	so bringen würde ich sagen und jetzt wisst ihr auch Bescheid. Ich meine der Typ den ich da
69600	73560	kritisiere, der hat 30.000 Abos, dem wird das eh nicht platzen, von daher spielt es keine Rolle.
73560	83160	Ich habe ja den Tag das Video über das chinesische Zumal gemacht und das war ein riesen Fehler,
83160	87640	weil ich das nur gemacht habe, weil ich aus Versehen den Fehler gemacht habe auf dieses
87640	91720	Video überhaupt drauf zu klicken. Weil jetzt wurde mir ein anderes Video angeboten und ich
91720	95200	habe den Fehler gemacht da drauf zu klicken. Ich muss auf jeden Fall den Kanal wegblocken,
95200	105560	ich will das nicht sehen. Das Video, was ich gesehen habe, von dem Kanal Entropie Wissenschaft
105560	111600	schnell erklärt. Das ist alles, aber es hat nichts mit Wissenschaft zu tun und es wird auch nichts
111600	117400	irgendwie schnell erklärt in dem Video. In dem Video wird gar nichts erklärt und ich habe den
117400	124200	Eindruck genau darum geht es bei dem Kanal. Um das mal nochmal anders auszudrücken, alternativ. Dieser
124200	130960	Kanal lebt von dem sogenannten Big Bang Theory Effekt, so nenne ich das. Damals als die Scheiße mit
130960	137080	Big Bang Theory losging und die Serie ist furchtbar, da ging das auf einmal los, dass sozusagen das
137080	142400	Popkultur wurde, dass irgendwie was was mit Gleichung zu tun hat und Mathe irgendwie streber
142400	148080	mäßig und eine Brille tragen, dass das irgendwie innen wurde und ja Teil der Popkultur und Mainstream
148080	152880	ist und das ist dann Kasualisierung und dann hat das natürlich mit Entfremdung zu tun und dann hat
152880	157200	das natürlich nichts mehr mit Physik oder Geeks oder Nerds zu tun, sondern nur noch mit einem
157200	162160	Sales Pitch mit irgendeinem Typen, der ein T-Shirt an hat, wo irgendein Mathewitz draufsteht mit einem
162160	169600	Pi. So ein Scheiß. Das ist sozusagen der Shit und dieser Typ, jetzt ohne Scheiß, der wenn ich schon
169600	175120	die Stimme höre von diesem Video Typen, die muss irgendwie super krass bearbeitet sein,
175120	181920	weil so redet keiner. So eine Stimme hat keiner, das ist widerlich und ja das Video, es geht um die
181920	189440	zehn schönsten Gleichungen und ja, richtige echte Nerds, die meisten zumindest, finden,
189440	194840	dass Gleichungen eine gewisse Ästhetik haben und mit mir, ich bin das beste Beispiel, ich habe mir
194840	198880	die Euler Lagrange Gleichung mit dem Hamilton Prinzip auf meinen Arm tätowiert, weil ich so ein
198880	203120	bekacktes Opfer bin und dahinten habe ich mir ein Schild gebaut, wo dieselbe Verallgemeinerung für
203120	208160	Felder nochmal steht. Ich bin der verdammte Nerd, das ist klar und meine Katze heißt Emmy, nach
208640	214440	so, mehr braucht man gar nicht sagen und der Typ, ich weiß gar nicht, ich habe langsam den Eindruck,
214440	220840	der ist gar kein Physiker. Was der lauert, das ist unglaublich, also was er auf jeden Fall nicht macht
220840	228040	und das ist ja genau der Witz, er erklärt gar nichts, er versucht es nicht mal und da wo er es
228040	232480	vielleicht ansatzweise versucht, das ist eigentlich nur ein schlechter Witz, da klappt es natürlich
232480	236440	auch nicht. Es geht nicht darum, irgendwas zu erklären und erst recht nicht Wissenschaft schnell
236440	241280	zu erklären. Erst mal ist Wissenschaft nicht, was man schnell erklären kann und zweitens ist es
241280	245280	auch nicht, was man mal eben in einem YouTube Video über eine Stunde erklären kann. Wenn man
245280	249200	da kein Grundgerüst von mathematischer Grundbildung hat, dann braucht man es gar nicht erst versuchen,
249200	255400	das ist einfach lächerlich und dieser Typ sucht sich jetzt randommäßig irgendwelche Formeln
255400	259280	raus und behauptet, das sind jetzt mal die schönen, das sind jetzt vielleicht seiner Meinung nach die
259280	263360	schönsten Gleichungen, aber man merkt sofort, dass der Typ überhaupt keine Meinungenzugleichung hat,
263360	269280	weil das, was der da raus wird, ist einfach nur lächerlich. Erst mal eins ist gleich 0,9 Periode
269280	275440	und dann erklärt er es nicht, er erklärt jetzt nicht genau, was jetzt eigentlich mal da Phase ist,
