start	end	text
0	5000	Ich habe dann immer schon auch diese Frage im Kopf, bringt das eigentlich was?
5780	11060	Denn ich komme ja wie gesagt zu ganz ähnlichen Erkenntnissen und ich habe ja jetzt wirklich nicht viel
11340	16420	nicht so viel Zeit investiert in all diese Gedankengänge, die da sozusagen nötig waren, um das zu machen.
30000	36080	So Leute, ich war jetzt lange kein Video und so, aber der Boll hat einfach zu tun.
38280	43860	Ich habe den Tag schon mal so einen Post gemacht und irgendwie mache ich jetzt das Video dazu.
44400	47300	Heute soll es mal um meinen eigenen persönlichen
48020	55640	Elitismus bezüglich Geisteswissenschaften, Sozialwissenschaften und so gehen und ich weiß ja, dass viele meiner Leute, die hier
56640	58280	das gucken,
58280	62120	von den feinsten Geisteswissenschaften und Sozialwissenschaften herkommen.
63120	68320	Seid nicht aufhändet, ihr Freunde. Ich erkläre es euch, wie ich das sehe und zwar folgende Beobachtung.
68920	74960	Ich habe letztens die Folge von Ola und Wolfgang gesehen, in der sie die Frage stellen, im Wesentlichen stellen sie die Frage
75840	80040	nach der unsichtbaren Hand des Marktes und was der Markt eigentlich für ein Problem löst.
80040	86040	Sie formulieren das natürlich nicht so, aber das ist absolut identisch, die absolut identische Fragestellung zu meinem Video,
86280	88280	welches Problem lösen die Märkte eigentlich?
88600	92920	Kapitalismuskritik ohne Ahnung von Marx. Das habe ich damals schon so formuliert und witzigerweise
93680	99320	geht das Video von Ola und Wolfgang irgendwie 30 Minuten und sie erzählen und erzählen, was sie alles von Büchern gelesen haben und
99400	103920	rezitieren und natürlich auch Marx und so und am Ende kommen sie zu derselben Schlussfolgerung wie ich.
105400	111920	Und ihr müsst euch mal den Workflow vorstellen. Ola und Wolfgang, wirklich, nichts gegen Ola und Wolfgang, ich finde die super.
113000	114520	Aber
114520	120560	die Boys haben in ihrem Leben richtig viel gelesen, sind absolut krasse
121280	122960	Intellektuelle.
122960	126840	Bereiten so einen Podcast vor und machen und tun und das kostet sie richtig viel Arbeit.
127800	129800	Und ich denke mir immer,
131120	132800	wenn
132800	135160	die jetzt zur selben Schlussfolgerung kommen wie ich,
137800	143920	ist das dann eigentlich irgendwie, also das ist für mich eine Effizienzfrage, ist das dann etwas, was man irgendwie
144680	147680	gut finden muss, also zwangsläufig, ob das irgendwie,
148240	155040	ja ich verstehe schon, das hat vielleicht so einen Charakter von Qualitätssicherungen oder so, aber ich finde die Qualitätssicherung sollte in einer Gesellschaft eigentlich sowieso
155560	158800	durch Dialektik und Diskurs entstehen, also durch
159640	167320	korrektives Feedback aus den Peers, wenn man irgendwas formuliert, was andere vielleicht irgendwie falsch finden oder so, aber klar, wegen Offendismus ist das immer ein riesen Problem
167440	174440	sowas. Und ich kann das auch noch mal alternativ formulieren, wenn man einen motivierten Boy auf der Straße hat.
175280	177280	Irgendjemanden und
178000	182800	jemand anders kann ihm etwas so erklären, dass der das versteht, ohne dass er irgendwie vorher,
183400	186800	dass er Fachwissen hat, auf Bücher zu greifen kann und all das.
187960	190560	Dann frage ich mich ganz ernsthaft, wozu
192120	196400	muss man dann eigentlich diese Fächer studieren, weil ich habe den Eindruck, viele Leute
197080	198400	machen das.
198400	200560	Die studieren sehr viel und
201560	208520	das kostet die Jahre ihres Lebens, um sich durch Bücher Berge zu wälzen und
209440	211760	endlose Seminararbeiten zu schreiben und solche Sachen.
213080	215080	Und ich finde irgendwie
217800	219800	daraus entwickelt sich so eine Art,
219840	223840	ich weiß nicht, ob das das richtige Wort ist, aber es ist so eine Art Fetisch innerhalb
224560	226240	gerade der
226240	227560	Linken,
227560	234640	dass man bestimmte Bücher gelesen haben muss und es ist auch so richtig so, ja, am besten richtig alte, verstaubte Kamellen, so Hegel
235240	241920	oder Marks im Original lesen. Und ich gehe einfach mal da stark davon aus, dass man da stirbt, wenn man das macht.
241920	247600	Die sind so fies geschrieben, weil das checkt man halt einfach nicht und dann kostet das einfach nur unendlich viel
248400	251920	Arbeitsleistung, das zu machen. Und in der Physik würde ich auch nicht darauf kommen,
252400	256920	also das kann man schon machen, wenn man Bock drauf hat. Versteht mich dann nicht falsch. Wenn man da richtig Bock drauf hat,
257160	261080	Original zu lesen, dann kann man das machen. Aber in der Physik würde ich niemals drauf kommen,
261560	266560	das Original Paper von Einstein zuerst zu lesen. Ich würde mir ein Lehrbuch nehmen, also ich würde mir ein
266920	273080	Schriftstück nehmen oder eine Vorlesung von jemanden, der das bereits verstanden hat und es dann mit seinen eigenen Worten
274040	280960	fachgerecht wiedergeben kann. Dafür gibt es doch die ganzen Geisteswissenschaftler, die seit 100 Jahren nichts anderes machen. Und wenn es irgendwie
281560	283800	krasse erkenntnistheoretische Sachen gibt,
285000	287000	dann erwarte ich, dass
287160	294760	Leute, die sich das drauf geschafft haben, einem das irgendwie näherbringen können, einem das irgendwie schmackhaft machen können, dass das was ist, was was bringt.
295440	298640	Denn was ich oft sehe, ist, dass es Leute gibt,
299320	301320	viele Leute, mit denen ich auch diskutiere,
301760	309360	die entweder sehr, mit denen ich sehr gut klarkomme oder Leute, die richtig aggressiv sind und irgendwie nur am rumranden sind und mich auch total scheiße finden und
309360	311160	andersrum übrigens auch.
311160	312360	Und
312360	318760	egal, ob da jetzt sozusagen A-Version ist oder nicht, ich habe dann immer schon auch diese Frage im Kopf,
319560	321480	bringt das eigentlich was?
321480	326800	Denn ich komme ja, wie gesagt, zu ganz ähnlichen Erkenntnissen. Und ich habe ja jetzt wirklich nicht viel,
327040	332200	nicht so viel Zeit investiert in all diese Gedankengänge, die da sozusagen nötig waren, um das zu machen.
333200	339720	Außer man möchte sozusagen die mathematische Ausbildung, die ich genossen habe, damit reinzählen. Das kann natürlich sein, dass man das machen will.
339720	343000	Aber im Prinzip befinde ich mich ja auch da auf einem Gebiet der
343520	346880	Laborfächer und da bringt mir jetzt das fast nichts,
347800	353480	dass ich sozusagen mal Quantenmechanik und statistische Physik gehört habe oder so. Also jetzt so als Vergleich.
355840	358160	Irgendwas ist hier immer mit den Katzen. Also ich wollte jetzt sagen,
358160	363840	man kann sich sozusagen das Originalpaper durchlesen oder man kann es richtig völlig übertreiben mit sowas hier.
365160	367760	Das ist einfach mal so, das wäre sozusagen
368480	375880	meiner Meinung nach das Pendant, wenn man in Physik jemanden fragen würde, der unbedingt Marx gelesen haben will, dann
376080	379840	würde der dir sagen, liess den kompletten, liess alle Bände von Landau.
380960	384640	Versteht mich nicht falsch. Das kann richtig geil sein, wenn man das macht.
385280	392520	Das ist aber wirklich nur für einen selbst, für das eigene Ego und das ist auch ein Entertainmentfaktor, der da mit da reinspielt, aber
393240	399560	besonders effizient, würde ich sagen, ist das nicht. Deswegen würde ich dann eher zur Reihe vom Fließbach irgendwie
400800	404720	tendieren, weil der einfach irgendwie das ja kompakter und
406440	409120	trotzdem genauso fachlich korrekt hier hinschreibt.
409680	415600	Und ja, das ist einfach so meine Einstellungsfrage, mit der gehe ich aber da ran und
415960	420080	ich glaube, das ist in den Naturwissenschaften ganz normal. Da spielt es einfach keine Rolle,
420600	426520	wie man jetzt da hingekommen ist, dass man irgendwas verstanden hat. Hauptsache ist, man hat es verstanden und
427280	433760	ich denke, weil das Problem gerade in den Geisteswissenschaften die Frage ist, hat man irgendwas überhaupt verstanden? Wie kann man das überhaupt feststellen?
434240	436960	Weil das alles so ein bisschen schwammig und aufgelöst ist,
437440	439440	gibt es da eine viel größere Kultur
439960	448160	dieses elitären Gehabes und ich kriege davon einfach, ich kriege davon jetzt in letzter Zeit viel ab, weil ich ja jetzt diesen YouTube-Account habe und
451480	454240	wozu braucht man sozusagen 100 Jahre erworbene
454680	459320	Erkenntnistheorie, wenn es doch Leute gibt, die das eigentlich, also ich finde den Job von
459680	465800	Intellektuellen in dieser Szene, der ist ja gerade der. Die Positionen der Gesellschaft ist ja von denen, dass sie genau diesen Job machen sollen.
465800	470480	Sie sollen die letzten 100 Jahre schön zusammenfassen, zusammenkochen und das Wesentliche so erklären.
471280	475040	Das ist das, was sie machen sollen und wenn irgendwas richtig kompliziert ist, ja, dann müssen sie tatsächlich
475520	481480	mal eine Vorlesung daraus machen oder ein großes Buch schreiben, sagen wir mal 500 Seiten, aber das ist dann besser als
482200	486280	3000 Seiten von irgendwelchen vorangegangenen Literaturschriften und so.
488400	490400	Ja und
490400	493840	genauso ist es mit Artikeln. Also ich lese mir dann halt einen Artikel vom
494320	498480	vom, wie heißt er, von diesem Ami rein. Richard D. Wolf?
499040	505840	Oder ich habe den Tag, ich habe dieses Buch angefangen, die 17 Videospüche des Kapitalismus oder es sind 13 oder so, da bin ich jetzt zur
505840	509800	Hälfte durch von so einem Boy, ich glaube David Harvey oder so heißt der.
510640	516560	Das reicht mir dann auch. Wenn ich mal Zeit habe und Muße habe, dann lese ich mir sowas durch und
516880	521200	ehrlich gesagt steht da jetzt auch erstaunlicherweise dann am Ende doch nicht so viel Neues drin für mich.
522000	527560	Es hat nur trotzdem mit einem erfrischenden Charakter das mal aus einer alternativen Sichtweise irgendwie noch mal formuliert zu haben.
