start	end	text
0	13000	Den einen Abend war ich in Erwin's Stream und als der offline gegangen ist, habe ich zu ihm gesagt, er soll Herr Newstime reden und dann mit dem Chat ihn davon überzeugen, dass er mal mit mir quatschen soll.
13000	18000	Weil natürlich denkt er, ich bin irgendein Troll und warum soll er mit irgendeinem random Dude aus dem Chat quatschen, den er nicht kennt.
18000	26000	Das hat dann aber funktioniert und wir haben dann gequatscht. Und ich war schon voll im Baller. Ich hatte bestimmt schon 6-7 Bier getrunken an dem Abend.
26000	38000	Und dann habe ich während diesen 3 Stunden noch mehr gesoffen natürlich und es war ein total witziges Gespräch. Die erste Stunde oder so, die könnt ihr quasi skippen.
38000	47000	Ich mache übrigens Timestamps unten in die Beschreibung, dann könnt ihr da den uninteressanten Kram auch skippen, weil es fängt halt an mit, du bist links, erklär doch mal und so.
47000	56000	Und das wisst ihr natürlich alle, den Talk kennt ihr schon. Aber dann ging es halt um Determinismus, Bewusstsein, das volle Morphprogramm Science Fiction quasi.
56000	68000	Wir haben uns auch über Kosmologie und allgemeine Relativitätstheorie und so ein Zeug unterhalten und es war ein völlig wilder Talk und dieser Newstime Typ ist auch ein richtig entspannter Dude.
68000	74000	Und wir haben halt ein bisschen gequatscht. Ich denke am Ende hatten wir ein Missverständnis, das konnte ich gar nicht mehr auflösen. Ich habe es gar nicht mehr gecheckt, dass wir dieses Missverständnis hatten.
74000	87000	Er dachte, dass wenn ich von Determinismus rede, dass ich dann so eine Minority Report Welt haben will, also dass ich Leute vorherbestimmen kann und dann quasi keine Kriminalität mehr existiert, weil ich sie schon vorher einsperre, die Leute oder so.
87000	98000	Das dachte der glaube ich. Das habe ich dann aber auch nicht mehr gepeilt, aber sonst super witzig. Und ja, weil er es nicht verwursten wird für seinen YouTube, dachte ich mir, ich werde es euch zeigen, dann habt ihr was davon.
99000	107000	Wenn ihr auf sowas steht, guckt es euch an und habt Spaß, wenn nicht, ist halt ein super langer Talk. Aber ja, viel Spaß.
123000	125000	Du hast sechs Stunden mit Erwin geredet.
