start	end	text
0	6360	Und jetzt sehe ich gerade, ich hätte hier draufdrücken müssen.
6360	9680	Das tut mir ein bisschen leid jetzt, aber jetzt ist es so.
9680	14180	Ich habe jetzt erst auf Start gedrückt, das heißt ich habe schon mal so ein bisschen
14180	15180	rummig quatscht.
15180	20200	Also ich habe im OBS auf Stream geklickt und dann vergessen, dass ich hier im YouTube
20200	21200	aufklicken muss.
21200	22200	Aber gut.
22200	23200	Okay.
23200	25000	Dann nochmal von vorne.
25000	26000	Guten Tag.
26000	27160	Ich habe mir ein paar Bier geholt.
27160	28920	Jetzt stehen hier zwei.
28920	34000	Das wird erst mal reichen, wenn nicht, hole ich mir noch ein paar andere Bier und schreibt
34000	38120	mal in den Chat, wenn das hier funktioniert und wenn ihr mich hört und den ganzen Krempel,
38120	39120	wenn das irgendwie geht.
39120	46400	Ich fange mal ein bisschen an, einfach zu quatschen und dann gucke ich mal, was passiert.
46400	53440	Wenn sozusagen keiner Bock hat oder so und hier nichts ist, dann lasse ich es auch wieder.
53440	56200	Aber ihr könnt mir sozusagen Fragen stellen und sonst quatsche ich einfach mal ein bisschen
56200	57200	rum, so wie sonst auch.
57200	63520	Ich quatsche mal ein bisschen über so meine Erfahrungen oder was ich letztens so beobachtet
63520	64520	habe.
64520	65520	Einfaches Beispiel.
65520	71680	Wir waren unterwegs, wir mussten irgendwie spontan eine halbe Stunde, 40 Minuten in eine
71680	76880	Richtung fahren mit dem Auto und meine Tochter ist jetzt zweieinhalb und ich habe sie hinten
76880	80320	in den Kindersitz reingepackt und habe mich daneben auf die Bank gesetzt und dann ging
80320	81320	das halt los.
81320	84000	Und ich habe mein Buch gelesen und sie hatte nichts dabei.
84240	87480	Also wir hatten jetzt auch nicht irgendwie, es war relativ spontan, wir hatten kein Spielzeug
87480	88480	dabei oder so.
88480	90760	Und was macht meine Tochter?
90760	102800	Na ja, sie zieht sich ihre Schuhe aus, weil es war warm und dann zieht sie sich ihre Schuhe
102800	108160	aus, war warm und dann guckt sie sich so ihre Füße an und steht fest, ach guck mal hier,
108160	110320	mit den beiden Füßen könnte ich ja ein Rollspiel spielen.
110320	112960	Ich tue mal so, als wäre der eine jetzt eine Mami und der andere wäre ein Baby.
113920	117920	Und dann hat die sich da Geschichten erzählt mit ihren Füßen und die sind dann da an dem
117920	123160	Autositz lang und es war interessant zu sehen, weil ich habe halt wie gesagt mein Buch gelesen
123160	126440	und ich habe sie jetzt irgendwie nicht getriggert, irgendwas zu machen oder so, sie macht das
126440	127440	von ganz alleine.
127440	133240	Und das ging dann so weit, dass sie sich irgendwann die Socken ausgezogen hat und dann hatte sie
133240	138840	ja vier Teilnehmer in ihrem Rollenspiel, dann konnte sie sozusagen Mami, Papi und sich
138920	144920	selbst und noch ihre Tante oder so und das ging dann so weit, dass sie sozusagen eine
144920	149200	Party gefördert haben und sich Lieder vorgesungen haben und dann hat sie ihren eigenen Fuß irgendwie
149200	152760	so hoch gemacht und hat dann so einen Arm genommen und hat gesagt, so das Baby muss
152760	156520	jetzt schlafen und so und dann hat sie irgendwie sich da, also in ihrem Kindersitz total die
156520	160760	Storys erzählt und das war interessant zu beobachten, weil ich denke immer da fängt
160760	168160	das genau an mit dem Bewusstsein, in dem Moment, wo Kinder Modelle bauen und konstruieren
168160	172720	über ihre Umwelt, die sie mit einschließen, da geht das sozusagen los mit dem Bewusstsein.
172720	177480	Und das war interessant zu beobachten, weil wie gesagt, das ging 40 Minuten oder so und
177480	180800	sie hat auch nicht rumgestresst oder so und sie ist ja auch kein Kind, was dann irgendwie
180800	184960	anfängt rumzugenerven, weil sie das gar nicht gewöhnt ist, dass man ihr sofort irgendwas
184960	185960	gibt.
185960	192880	Also meine Tochter, die ist relativ gechillt und das liegt wahrscheinlich daran, dass
192880	196600	wir kein Fernsehen und kein Smartphone und so ein Krempe, das haben wir ja alles nicht,
196600	199760	das heißt sie ist das gewöhnt, sich selber was zu überlegen, wenn sie irgendwie langweilig
199760	203160	hat, dann muss sie irgendwas machen, sie sucht sich ein Spielzeug oder sie spielt mit irgendwelchen
203160	209160	Alltagsgegenständen, das ist sowieso immer am besten, wir haben sowieso ja kein Spielzeug,
209160	215040	was jetzt irgendwie per Design schon vorgibt, wie man es zu benutzen hat, also ich würde
215040	222120	nie irgendwie Bausteine besorgen, die jetzt schon aussehen wie ein Haus, das würde ich
222120	229800	nicht machen, das ist irgendwie schwachsinnig und ja, wenn sie jetzt irgendwas, also sie
229800	233440	spielt normalerweise mit Gegenständen aus einem Alltag, es ist völlig egal mit was,
233440	237120	was weiß ich, ich habe ja auch eine Tasse mit Kronkorken gehabt den Tag, super, mit
237120	241200	den Dingern kann man sich Figuren legen, da kann man sich Strichmännchen bauen und dann
241200	247560	sagt sie einfach guck mal hier, das ist Mama und so und dann sage ich aha ok krass und
247560	251000	so geht das immer und wie gesagt wir sind dann im Prinzip eineinhalb Stunden mit dem
251000	256200	Auto gefahren durch das triste Sachsen-Anhalt und es war überhaupt kein Problem, es ist
256200	259120	völlig entspannt und wie gesagt ich hatte nichts dabei, ich habe gelesen, die Frau ist
259120	262600	Auto gefahren, das ist bei uns übrigens immer so, sie fährt Auto, ich habe keinen Bock
262600	270880	auf Auto fahren, ich will lieber lesen oder so, ja und das ist jetzt nun mal so eine Beobachtung
270880	276040	gewesen, wo ich dann immer mir denke naja klar, da geht das los, die Kinder, also ihr
276040	280120	Deep Learning Netzwerk ist soweit entwickelt, dass sie verstehen, dass sie selber mit der
280120	285360	Umwelt interagieren und sie bauen dann Modelle, wie sie mit der Umwelt interagieren und das
285360	289840	zeigt sich in solchen Rollenspielen und das habe ich das allererste Mal beobachtet, da
289840	297000	war sie anderthalb, da hat sie mit, wir hatten irgendwie zwei so eine Plastikkatzen, ich glaube
297000	302280	das waren ursprünglich mal so Stecker, die man auf Sektflaschen und Weinflaschen drauf
302280	306040	fropft und die haben oben so Katzen drauf und das hat ihr gereicht, die hat sie irgendwie
306040	311520	gefunden, die lagen irgendwo rum und dann hat sie so getan, so wie die eine Katze war
311520	314880	größer als die andere, klar, da war das irgendwie das Babyautomatisch und dann bringt die die ins
314880	319600	Bett, so wie wir das immer machen und dann hat die der was vorgelesen und so ein Zeug und das
319600	325640	ist super interessant zu beobachten und das geht jetzt sozusagen alles richtig ab, ich
325640	332360	habe vorhin hier noch, Frau war in der Badewanne und ich habe mit ihr im Wohnzimmer gechillt und
332360	336440	dann haben wir so ein Memorykartenspiel gehabt und da waren irgendwie Kinderzeichnungen von
336440	342240	einem Hund drauf und dann hat sie mich gefragt, wie der Hund heißt und dann habe ich einfach alle
342240	347280	möglichen Namen, die sie schon kennt, aufgezählt und das fand sie super witzig, weil sie dann immer
347280	352160	gesagt hat, so heißt der Hund ja nicht, der heißt nicht Tino oder so, ja und irgendwann ging das so
352160	354560	weit, dass mir dann keine Namen mehr eingefallen sind, dann habe ich irgendwelche anderen Worte
354560	362280	verwendet, zum Beispiel Objekte, also Substantive und dann hat sie auf einmal weiter gemacht und
362280	365240	das war super witzig, weil sie dann alles aufgezählt hat, was sie sieht und das ging
365240	369520	dann schon relativ schnell und da war ich auf einmal erstaunt, wie gut sie schon das mittlerweile
