start	end	text
0	2000	I don't know if you can hear me, but I can hear you.
2000	4000	I can hear you.
4000	6000	I can hear you.
6000	8000	I can hear you.
8000	10000	I can hear you.
10000	12000	I can hear you.
12000	14000	I can hear you.
14000	16000	I can hear you.
16000	18000	I can hear you.
18000	20000	I can hear you.
20000	22000	I can hear you.
22000	24000	I can hear you.
24000	26000	I can hear you.
26000	28000	I can hear you.
30000	32000	I can hear you.
32000	34000	I can hear you.
34000	36000	I can hear you.
36000	38000	I can hear you.
38000	40000	I can hear you.
40000	42000	I can hear you.
42000	44000	I can hear you.
44000	46000	I can hear you.
46000	48000	I can hear you.
48000	50000	I can hear you.
50000	52000	I can hear you.
52000	54000	I can hear you.
54000	56000	I can hear you.
58000	60000	I can hear you.
60000	62000	I can hear you.
62000	64000	I can hear you.
64000	66000	I can hear you.
66000	68000	I can hear you.
68000	70000	I can hear you.
70000	72000	I can hear you.
72000	74000	I can hear you.
74000	76000	I can hear you.
76000	78000	I can hear you.
78000	80000	I can hear you.
80000	82000	I can hear you.
82000	84000	I can hear you.
84000	86000	I can hear you.
86000	88000	I can hear you.
88000	90000	I can hear you.
90000	92000	I can hear you.
92000	94000	I can hear you.
94000	96000	I can hear you.
96000	98000	I can hear you.
98000	100000	I can hear you.
100000	102000	I can hear you.
104000	106000	I can hear you.
106000	108000	I can hear you.
108000	110000	I can hear you.
110000	112000	I can hear you.
114000	116000	I can hear you.
116000	118000	I can hear you.
118000	120000	I can hear you.
120000	122000	Nice!
124000	126000	I can hear you.
126000	128000	I can hear you.
128000	130000	I can hear you.
130000	132000	I can hear you.
132000	134000	I can hear you.
134000	136000	I can hear you.
136000	138000	I can hear you.
138000	147360	Hi hi hi.
147360	153580	Hi.
153580	166000	x selon
166000	171580	th
171580	177920	th
177920	179780	th
179780	182760	th
182760	203440	the
203440	233440	I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper,
233440	255140	and then I'm going to add a little bit of salt and pepper, and then I'm going to add a little bit of salt and pepper, and then I can already hear the music...
255540	258540	We're going to turn off the song, sleepy, and then we're off...
288540	295540	You know what, you know what, you know what, you know what, you know what, you know what,
319540	326540	you know what, you know what, you know what, you know what, you know what, you know what,
332540	339540	you know what, you know what, you know what, you know what, you know what, you know what,
348540	355540	you know what, you know what, you know what.
378540	385540	You know what, you know what, you know what.
498540	511540	So, I'll explain it to you. I sat at the computer earlier, played a bit, the girls were out
511540	516540	and the woman called and said, should I buy you beer? We are just shopping. I'll bring you
516540	522540	beer. Tell me which beer. And it turned out that we were grilling. So I thought, cool,
522540	527540	we're grilling. But that means I'm drinking beer and that means I won't play after that
527540	532540	because if I'm drunk or just drunk, I can't play anymore. I'm taking it seriously.
532540	537540	I have a delay, then I can't react anymore and that's why I can't do it. So I thought,
537540	542540	I'll look at the debate battle at the competition anyway and I'll drink a beer anyway
542540	547540	because we're grilling. And I did this on the beamer in the living room. That means my wife
547540	552540	pulled it in and so on. Super funny. And then I thought, fuck it, do a live stream.
552540	559540	And I always wanted to do something quick anyway, like a few capitalism films
559540	564540	that are running under the radar that no one knows. First thing, in the video description
564540	569540	you have to find a link to a movie pilot list. If you can't see it, then you have to
569540	576540	make a fun account. Make yourself a fun account or log in with some junk,
576540	582540	with some social media. It should work. Then you can see the list. And I just
582540	586540	clicked them together. That means I will certainly have forgotten films that are super nice.
586540	591540	And if you can think of good films that talk about capitalism, and it's not especially
591540	595540	films like The Big Short that are obvious or Wolf of Wall Street, where that is completely clear,
595540	598540	but films where it may not be completely clear that they talk about capitalism.
598540	603540	These films are especially interesting. And yes, I have now prepared the list
603540	608540	and we'll just go through it. And as I said, if you come up with something, just write it
608540	616540	in the comments. The chat is now there. So, and before it starts, terms like capitalism
616540	621540	are bubbles on a string. The string is the well-known red thread. Such definitions
621540	632540	I see. You're in a good mood today. You have a beer, you have a spade, and that's why
632540	636540	you're making really clever speeches here. I notice that. Okay, no problem. I'll start.
636540	641540	I think I've talked about Killing Them Softly with Brad Pitt before. The film is really
641540	647540	wonderful, because the film is actually the perfect thing, in my opinion, about the films
647540	653540	that I actually want to talk about here. The film was sold back then as a mafia film.
653540	659540	He also only had the actors, for example the guys from the Sopranos. He had these typical
659540	665540	mobster mafia situations. And so was the trailer and so was the poster. So the film was
665540	670540	marketed. And everyone went into the movies and then expected a mafia film. And it was
670540	675540	not a classic mafia film. Everyone was already pissed off and the film also got super
675540	680540	bad reviews because everyone was just disappointed. And I'll tell you, I didn't know
680540	685540	the film and I didn't notice the advertising back then. I only saw it a few months ago.
685540	690540	And I was totally surprised. First of all, the film is also produced by Wood Pitt and
690540	698540	the film is about capitalism. So this setting, this mafia setting that is
698540	704540	embodied there, that's just a make-up artist. That's just a marketing strategy for the
704540	710540	film. But on the other hand, it's an extremely good metaphor. It's about capitalism.
710540	716540	And the nice thing is, Brad Pitt himself plays the main role and he embodies capitalism.
716540	722540	He embodies, in my opinion, all contradictions of capitalism. He has them in him.
722540	726540	So first of all, it's of course Brad Pitt. He looks super cool, he runs around, he's super
726540	731540	clean, he talks all the time and so on. And he just does it as if he were really serious.
731540	736540	And he just wants to, so he's an order killer and he just does his business with killing.
736540	740540	And that's not a problem at all. Morality doesn't play a role in the film at all.
740540	745540	That's really cool. That's what it's about, not at all. But he is constantly
745540	751540	confronted with the fact that his business also leads to things that
751540	756540	piss him off. And that's just funny. And the film is really just elegant and
756540	761540	very nicely done. Especially the first scenes are really dirty and you can see
761540	767540	how it is when you stand in the bottom of the pyramid in the USA. There is no solidarity.
767540	773540	Natural Born Chaos, yes. Very good idea. I'll add it right away.
780540	783540	If my wife was in the chat now, she would have said that a long time ago.
783540	788540	This is my wife's favorite film. In any case, a really good film because he
788540	793540	refers really well to how it is with the media and with the feedback loops.
793540	798540	And above all, he is already so old and yet the film is still completely accurate.
798540	802540	So, Killings in Softly. And that's for example the guy from the Sopranos.
802540	807540	He plays an aging order killer and he should do the job. And he should do the job
807540	811540	only because he wants to kill someone because Brad Pitt doesn't want to do it himself.
811540	815540	He somehow knows the victim so half and he actually didn't want to be pulled in
815540	820540	and that's just too emotional. And he would rather do an alienated business where
820540	825540	he is far away from the content. He doesn't want to argue about content. He just wants
825540	830540	to make a business decision. And then he gets a Sopranos man and he is
830540	833540	already completely over the mountain. So he doesn't want to do his job anymore.
833540	836540	He doesn't want to do anything anymore. He is completely alienated from the world.
836540	840540	He actually just wants to use alcohol. And that is no longer fun for him.
840540	844540	And he meets him in a hotel lobby and he is already badly reprimanded because the guy is
844540	848540	so fat and old and shit and he doesn't want to do it anymore and he is just drunk.
848540	853540	And Brad Pitt tries to get him to do the job and in the end he doesn't do it.
853540	858540	And then Brad Pitt has to do it himself and all that. And that's all totally awesome.
858540	863540	Super nice. And the best thing about the film. So first of all, this whole mess,
863540	868540	how it gets there. The actors are great. The whole excessive violence that is
868540	873540	shown in the film. It is really not fetishizing at all.
873540	877540	It is not like you would expect in a normal gangster movie.
877540	882540	Really masculine, really cool scenes where someone shoots you in the head with a
882540	886540	gun or something. Or where someone beats you up really hard. Yes, there is that.
886540	891540	But they are shown the way they are. Just raw and bloody.
891540	896540	I am actually used to raw violence in films and bloody films.
896540	901540	Nevertheless, I had this feeling when watching the film that this is just not an
901540	906540	aesthetic scene. It is just disgusting. It just resists you because the violence is
906540	911540	shown so realistically. And you really think, oh, does that have to be now?
911540	916540	Do they have to do that now? That's shit. And so on and so on.
916540	921540	And believe me, I have already seen a lot of films. It is not that I am
921540	926540	somehow surrounded by violence and that is why I am not good at it.
926540	931540	And that is wonderful. And of course all the actors are great.
931540	936540	And also all the little characters that are in it.
