start	end	text
0	10000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
30000	38000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
60000	68000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
90000	98000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
120000	128000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
150000	158000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
180000	188000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
210000	218000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
240000	248000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
270000	278000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
300000	308000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
330000	338000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
360000	368000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
390000	398000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
420000	428000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
450000	458000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
480000	488000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
510000	518000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
540000	548000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
570000	578000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
600000	608000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
630000	638000	– Zurufe von der SPD, der LINKEN und dem BÜNDNIS 90-DIE GRÜNEN
