start	end	text
0	3000	voll zu sülzen mit seiner Propaganda.
3000	6000	Das traf auch im Prinzip alle Werbekampagnen zu.
6000	9000	Und irgendwie war mir das schon in der achten Klasse intuitiv klar.
9000	11000	Ich hab mich intuitiv immer schon gegen sowas gestellt.
11000	16000	Der Witz ist, dass normale Erwachsene heutzutage das immer noch nicht gerafft haben.
16000	19000	Der deutsche Michel, der wird halt auch aktiv dumm gehalten.
19000	21000	Und das hat auch System.
30000	35000	So Leute, ich weiß lange Zeit kein Video und so, aber was soll ich machen?
35000	38000	Der Boy hat halt andere Sachen zu tun.
38000	42000	Ich habe eine richtig geile ARD-Doku gesehen.
42000	47000	Und es gibt sozusagen jetzt zwei Sachen, die ich euch unbedingt empfehlen muss.
47000	52000	Ihr müsst euch unbedingt The Social Dilemma auf Netflix reinziehen.
52000	55000	Gibt's wahrscheinlich auch irgendwo anders.
55000	58000	Und diese Doku jetzt von Arte, die ist super.
58000	61000	Die ist investigativ.
61000	67000	Und da wird im Prinzip jetzt mal erklärt, wie es ist mit der Wahlmanipulation.
67000	71000	Ich rede jetzt nicht davon, dass irgendwie Stimmzettel manipuliert werden oder so.
71000	78000	Es geht einfach nur darum, wie Edward Bernays Konzept von früher mit der Propaganda,
78000	81000	wie das im digitalen Zeitalter angekommen ist.
81000	86000	Und dieses Video schließt im Prinzip an mein Facebook Video an.
86000	91000	Digitalisierung, Facebook, Überwachung, Vorhersehen, Leute, Data Mining.
91000	93000	Ihr wisst Bescheid.
93000	97000	So und nur noch mal zur Erinnerung.
97000	100000	Cambridge Analytica Skandal ist der bekannteste von denen.
100000	101000	Da gab es eine richtig gute Doku.
101000	104000	Ich glaube, die war von Arte, die hieß Fake America.
104000	108000	Also da wurde genau erklärt, wie es ist und wie Trump sozusagen, wie die Media Kampagne,
108000	111000	wie die PR Kampagne das gemacht hat, dass er am Ende die Wahlen gewonnen hat,
111000	113000	weil es war ja super knapp.
113000	115000	Und beim Brexit war es genau so.
115000	120000	Da war auch eine riesen PR Kampagne und mehrere Strategien wurden da gefahren
120000	125000	von halt privaten Unternehmen, die genau das machen, PR Agenturen.
125000	129000	Und ja, Edward Bernays wäre auf jeden Fall stolz darüber.
129000	133000	Cambridge Analytica gibt es ja mittlerweile nicht mehr, klar, nach dem Skandal,
133000	136000	aber die Knowledge, das Know-how ist natürlich noch da.
136000	142000	Das heißt, das Humankapital hat sich halt in andere neue PR Agenturen verteilt.
142000	147000	Und ja, weltweit gibt es halt ungefähr 500 von solchen Agenturen.
147000	150000	Und die zehn fettesten oder so, die sitzen in London.
150000	152000	Das sind die allergrößten Agenturen.
152000	158000	Und dieser Reporter aus der Doku, der hat sich halt jetzt als jemand ausgegeben,
158000	159000	der von einer Partei ist.
159000	161000	Und ich sage gar nicht, welche Partei.
161000	163000	Das ist einfach super hammermäßig.
163000	165000	Ihr müsst euch die Doku reinziehen.
165000	168000	Und ja, er will halt diesen Service kaufen.
168000	171000	Und die Leute treffen sich mit ihm in London.
171000	174000	Und er hat halt eine fünfteltausende Partei.
174000	176000	Und er hat halt eine fünfteltausende Partei.
176000	179000	Und er hat halt eine fünfteltausende Partei.
179000	181000	Die Leute treffen sich mit ihm in London.
181000	183000	Und er hat halt eine versteckte Kamera dabei.
183000	185000	Und die sagen halt, wie es ist und wie sie es machen.
185000	187000	Und das ist echt super.
187000	191000	Und ja, jetzt frisch im Superwahljahr 2021 finde ich,
191000	193000	das passt halt auch wirklich richtig gut.
193000	198000	Und das ist wirklich auch mal wieder einfach...
198000	202000	Das habe ich ja schon mal irgendwie im ersten oder zweiten Livestream gesagt.
202000	205000	Der Grund, warum ich immer noch daran festhalte,
205000	209000	dass öffentlich-rechtliche Medien echt etwas bringen.
209000	213000	Weil sowas sieht man nur in öffentlich-rechtlichen Medien.
213000	214000	Solche Sachen.
214000	216000	Das werdet ihr niemals in privaten Medien finden.
216000	218000	Und auch nicht in den alternativen Medien.
218000	222000	Weil die haben entweder nicht die Kohlen dazu, sowas zu machen.
222000	225000	Oder sie sind halt interessengesteuerte Flachwegsachen.
225000	227000	Die halt, was soll ich dazu sagen?
227000	230000	Im Prinzip AfD-Propaganda betreiben.
230000	233000	So, und jetzt mal die allgemeine Idee.
233000	236000	Allgemeine Idee von der heutigen Propaganda.
236000	237000	Wie funktioniert die?
237000	239000	Na ja, natürlich durch Ablenkung.
239000	241000	Ihr kennt alle dieses Meme.
241000	244000	Vielleicht finde ich es auch und mache es in das Video.
244000	246000	Von diesem fetten Kapitalistentypen,
246000	249000	der sich den riesen Keks holt.
249000	253000	Und sozusagen den 99% des Kekses nimmt.
253000	255000	Und die Krümel, die unten rausfallen.
255000	259000	Da sagt er so, hier, du kleiner Michel, der deutsche Michel, nach dem Motto,
259000	263000	pass bloß auf, der Ausländer will dir was von deinen Krümeln klauen.
263000	267000	Und so, im Prinzip, das ist die Ablenkung, die da gefahren wird.
267000	272000	Er will sozusagen die Aufmerksamkeit des normalen Users davon ablenken,
272000	275000	dass er ja eigentlich den 99% Keks hat.
275000	279000	Und die sich da nur mit den Krümeln rumschlachten.
279000	281000	Und dann muss er natürlich dafür sorgen,
281000	285000	dass die da unten, die nichts haben, sich gegenseitig an die Gurgel gehen.
285000	287000	Und das geht super, diese Ablenkung.
287000	290000	Die Strategie funktioniert super, das sehen wir seit Jahrzehnten.
290000	294000	So funktioniert unser System schon lange.
294000	298000	Und ja, natürlich ist es so, ich habe es ja schon ein paar Mal gesagt,
298000	301000	keine Machtherarchie ist an Aufklärung interessiert.
301000	305000	Und naja, das Gegenteil von Aufklärung ist natürlich die Lüge.
305000	307000	Also, sprich Fake News zum Beispiel.
307000	309000	Ja, und es ist ja bekannt,
309000	313000	dass Fake News sozusagen einfach viel krasser geteilt werden in sozialen Medien.
313000	317000	Also irgendwie, das ist so etwas wie ein Faktor 6.
317000	320000	Also Fake News werden einfach 6-mal häufiger geteilt als Fakten,
320000	323000	jetzt zum Beispiel Nachrichten oder so.
323000	329000	Und die werden auch 100-mal häufiger von Leuten dann gelesen.
329000	334000	Also 6-mal krasser geteilt und 100-fach mehr Leute, die das erreicht.
334000	336000	Das heißt, Fake News sind einfach sozusagen
336000	339000	durch die Aufmerksamkeitsökonomie, die dahinter steht,
339000	341000	einfach das perfekte Mittel.
341000	342000	Und ich habe es ja schon tausendmal gesagt,
342000	344000	sie sind ein Resultat als Wettbewerb.
344000	345000	Das sehen wir da genau.
345000	348000	Und der Witz ist, politische Fake News jetzt
348000	351000	werden noch 3-mal häufiger geteilt.
351000	354000	Das heißt, sie werden im Prinzip um den Faktor 18-mal häufiger geteilt
354000	357000	als politische News.
357000	360000	Und dann wie gesagt 100-mal öfter auch gelesen.
360000	362000	Das heißt, das ist ein riesen Ding.
