start	end	text
0	6560	Daraus folgt auch diese ganze Pick-up-Artist- und Inselblasenideologie, weil es geht ja nur noch um oberflächliche Metriken.
6560	11560	Ich habe die Geilste Tussi, das ist ein Status-Objekt für mich. Ich habe Besitzansprüche.
11560	34960	So Leute, ich hatte ja den Tag diesen wilden Take, wo ich in Zug gefahren war und hinter mir diese beiden Weiber saßen,
34960	39560	dass die 20 gewesen seien und die haben sich die ganze Zeit nur über irgendwelche Boys unterhalten.
39560	45560	Das hat mich total inspiriert, dann ein Video zu machen, wo ich irgendwie über alle möglichen Sachen rede.
45560	49560	Und ich habe noch weiter darüber nachgedacht, wie das oft so ist beim Boy.
49560	57760	Und ich habe ja auch schon die Aussage gemacht dann, ich denke, das Hauptding ist, dass Mädchen früher erwachsen werden,
57760	66360	weil sie quasi früher geschlechtsreif werden und haben aber durch das Patriarchat quasi einen sehr hohen Anreiz,
66360	73760	sich einfach nur hübsch zu machen und sozialen Response und soziale Anerkennung einfach nur durch diese oberflächliche Metrik zu bekommen.
73760	79160	Sprich, ja, Kleidchen anziehen, Mädchensachen machen, lieb sein und einfach nur gut aussehen.
79160	82160	Das reicht auch, um sich später einen reichen Mann zu kaufen, so nach dem Motto.
82560	93360	Und ich denke eh, dass das Allerwichtigste für Menschen, weil wir ja eine soziale Spezies sind, die soziale Anerkennung sowieso ist.
93360	97960	Das ist das Wichtigste. Das ist das, was wir versuchen zu bekommen mit allem, was wir irgendwie tun.
97960	107560	Ich denke, fast alles, was wir an Handlungen vollführen bewusst, ist irgendwie damit korreliert, dass wir eigentlich soziale Anerkennung haben möchten.
107560	114960	Und jetzt ist es nur so, dass quasi durch die Tatsache, dass Mädchen früher geschlechtsreif werden als Jungs,
114960	120360	sie weniger greinden, das habe ich auch in dem Video schon gesagt, aber es kommt halt durch diese zwei Aspekte dazu,
120360	128360	dass Mädchen ab diesem Alter dann auch wirklich nur noch über Jungs nachdenken, weil natürlich haben sie einen Sexualtrieb, ist ja klar.
128360	138360	Und übrigens, ich habe den Tag irgendwo im Discord so einen schwachen Take gelesen von wegen, Frauen hätten weniger Sexualtrieb als Männer.
138360	144960	Und natürlich kam der Take von einem Mann. Und das erste, was ich mich gefragt habe ist, wenn man das jetzt mal ernst nehmen wollen würde, wie würde man das messen?
144960	153760	Ich habe mich also gefragt, könnte man sich eine Metrik überlegen, die irgendwie belastbar ist und ein Experiment oder irgendwie eine Statistik betreiben, um das rauszukriegen?
153760	157360	Und dann dachte ich mir aber auch, Moment mal, meine Beobachtung ist eigentlich ganz anders.
157360	164760	Frauen wollen sehr wohl ficken, da haben die richtig Bock drauf. Und ich habe auch den Eindruck, dass die Empfindungen von Frauen,
165560	173760	also der ganze Orgasmus und so und der ganze Kram, der ringsrum ist, der ist für Frauen viel vielschichtiger und mehrdimensionaler als für Männer.
173760	179360	Also für mich persönlich sozusagen aus meiner eigenen Erfahrung kann da nur sagen, das sieht für mich so aus.
180160	187760	Und die Aussage ist vermutlich eigentlich eher so eine typische Inzell-Richtung. Da kommt die wahrscheinlich her, würde ich sagen.
187760	200360	So diese Logik irgendwie. Und ich werde dazu auch wahrscheinlich irgendwann mal ein extra Video machen zu dieser, ich mache ja auch immer mal Videos zu toxischer und fragiler Männlichkeit und so.
200360	208960	Und ich denke irgendwann wird es passieren, dass ich noch mal mich auf diese Inzellen, auf dieses Symptom mit den Inzellen noch mal herablasse und das Malmorphspläne komplett.
210360	216560	Hier muss man jetzt noch einwerfen, dass viele Leute ja dann sagen würden, so was wie Moment mal, ich sehe mehr prüde Frauen als Männer.
216560	221360	Und da würde ich ganz klar sagen, naja, das hat was mit sexueller Gewalt und generell Gewalterfahrung zu tun.
222360	228960	Jungs kabeln sich und spielen Gewalt schon öfter, haben damit sozusagen ein ganz anderes Verhältnis dazu.
228960	236960	Und ja, Mädchen sind garantiert öfter Opfer von echter richtiger Gewalt schon in ihrer Kindheit und sexueller Gewalt sowieso.
236960	246960	Und dann ist ja klar, dass die später keine gesunde Sexualität in dem Sinne entwickeln können und dann eher einfach als Vermeidungsstrategien prüde in Anführungsstrichen werden.
246960	264960	Und es ist auch interessant noch, dass man sich überlegen könnte, naja, Leute, die sich sozusagen nicht diesen Status drauf geschafft haben, von wegen ja, ich habe jetzt mir hier was drauf geschafft und werde deswegen irgendwie respektiert und habe meinen sozialen Status.
264960	275960	Die erlernen dann von irgendwelchen Coaches hinterher dieses oberflächliche, also auf Oberflächlichkeit getrimmte Verhalten, was wiederum toxisches, also klassische toxische Männlichkeit und so.
275960	284960	Dabei ist ja der echte soziale Status eigentlich nicht davon getragen, wie gut man Klavier spielen kann oder so, sondern eher durch positive Vibes, die man bei anderen abfarbt.
284960	294960	Also in dem man hilfsbereit ist und irgendwie ein super Typ, in dem man gutes Feedback gibt, in dem man ehrlich ist und einfach wie ein richtiger Kumpeltyp auch rüberkommt zu seinen Freunden.
294960	305960	Und das verbessert garantiert auch die Altruismusrate, also wie sich andere dir gegenüber später dann verhalten, einfach weil sie dich respektieren, weil du ein guter Mensch bist.
305960	311960	Und das ist übrigens dann natürlich auch völlig orthogonal zu dieser Beobachtung aus dem anderen Video mit dem hierarchischen Rang.
311960	319960	Ich würde davon ausgehen, dass man besonders gut in den hierarchischen Rang erreicht, wenn man eher der Ellbogenmensch ist und andere unterdrückt in ihrer Performance.
