start	end	text
0	8000	Es geht nicht darum, dass beim Touring-Test rauskommt, dass eine KI sozusagen irgendwann Menschen gleich ist, sondern der Touring-Test steht eigentlich die inverse Frage.
8000	11000	Haben wir als Menschen unsere eigene Intelligenz begriffen?
25000	29000	So Leute, ich hatte ja vor, keine Ahnung, zwei Monaten oder so,
29000	43000	mein Chat-GPT-Video zu gemacht und kurz danach ging GPT4 live, also beziehungsweise die Open Air hat das vorgestellt und hatten auch noch ein Research-Paper dazu,
43000	51000	also so ein Technikereport dazu gemacht, wo sie auch so ein bisschen interessante Sachen erzählt haben.
51000	55000	Und ich habe leider nicht so viel Zeit, mich damit jetzt so im Detail zu beschäftigen.
55000	58000	Das Thema ist super interessant, aber ich komme halt nicht so richtig dazu.
58000	69000	Aber es gibt sehr viele interessante Dinge, die da im Moment passieren und das liegt vor allem daran, dass GPT4 multimodalen Input kann.
69000	73000	Es kann Bilder sehen und Text. Es kann jetzt zwei Dinge.
73000	88000	Es ist viel aufwendiger und wahrscheinlich viel größer als GPT3 und es gewinnt sozusagen in allen möglichen Aufnahmetests von Unis und schreibt bessere Klausuren als die durchschnittlichen Studenten und so.
88000	90000	All das kann es inzwischen.
90000	102000	Und auch weil viele Experten jetzt der Meinung sind, dass die AGI, also die Artificial General Intelligence, keine ferne Zukunft mehr ist, habe ich mir jetzt zum Beispiel mal überlegt,
102000	111000	wie würde ich jetzt einem Roboter hinschreiben, also wie würde ich die Software von so einem Roboter hinschreiben, dem ich versuche, ein Bewusstsein zu geben?
111000	125000	Und ich habe ja extra damals ein Video gemacht dazu, wie das ist mit dem, was wir Realität nennen und wie wir da unser Bewusstsein einordnen und so, wie ich das in diesem Kontext sozusagen, wie ich das alles zusammenbringe.
125000	134000	Und da erkläre ich ja im Wesentlichen, unser Gehirn erzählt sich sozusagen selber eine Geschichte darüber, wie es wäre, eine Person zu sein.
134000	141000	Oder wir stellen uns vor, wie eine Person in unserer Situation ist, die quasi die Situation rekonstruieren.
141000	151000	Wir einfach aus unseren gegebenen Inputdaten und der Vergangenheit, also den Daten, die wir in der Vergangenheit schon aufgesammelt haben und wie sich diese Person jetzt entwickelt in der Zeit.
151000	155000	Also was im nächsten Zeitschritt passieren wird und warum sie das tut und so.
155000	162000	Also wir können uns quasi eine Prosa-Geschichte davon erzählen und das ist das, was wir dann schlussendlich mit uns selbst identifizieren.
162000	170000	Also wenn wir von uns selbst reden, haben wir immer eine Figur im Kopf, eine Geschichte, die wir uns selber über eine Figur erzählen.
170000	180000	Ja und natürlich fließt sozusagen in Echtzeit, im Echtzeitfeed sozusagen unser sensorischer Input in diese Geschichte ein und wird sofort zu Verstoffwechsel, zu neuer Prosa.
180000	184000	Und deswegen ist diese Geschichte halt auch in Echtzeit wird sich erzählt.
184000	194000	Und da wir aber bereits wissen, dass KI jetzt, also GPT-4 insbesondere, gut kohärente Geschichten erzählen kann und sich auch ausdenken kann,
195000	201000	wieso also nicht versuchen, über diese Schiene einem Roboter, einem Bewusstsein zu geben?
201000	213000	Und ich denke, alles, was wir brauchen, ist im Prinzip, wir brauchen eine Verschachtlung von vielen sich gegenseitig Geschichten erzählenden Netzwerkarchitekturen,
213000	216000	also Deep Learning Architekturen und Machine Learning.
216000	221000	Wobei wir ja sozusagen, also eigentlich brauchen wir nur eine Geschichte, die eine Bewusstseinsgeschichte erzählt,
221000	226000	also über alles, was reinkommt an Inputdaten und was noch nicht richtig korrekt prediktet wurde,
226000	231000	wo wir unsere Aufmerksamkeit sozusagen oder der Roboter seine Aufmerksamkeit drauf lenken muss.
231000	236000	Und der Rest sind natürlich die ganzen unterbewussten Sachen, also Steuereinheiten und Motorik.
236000	242000	Also wenn ich jetzt zum Beispiel mir eine Geschichte erzähle, in der das Laufen vorkommt, dass ich jetzt irgendwo hinlaufe,
242000	246000	da muss ich, da muss ja sozusagen die Motorik angesprochen werden.
246000	250000	Es ist ja nicht so, dass ich wirklich aktiv darüber nachdenke, jetzt rechter Fuß, den linken Fuß,
250000	258000	sondern ich gebe meiner Kontrolleinheit einfach unterbewusst den Befehl, ich erzähle mir jetzt die Geschichte, in der ich loslaufe und dann laufe ich auf der anderen Seite.
258000	262000	Und ich denke, da das bei uns wahrscheinlich so ist, würde ich das mit dem Roboter auch machen,
