start	end	text
0	6680	Es gibt halt wirklich eine ganze Menge Leute, die sind einfach wohlstandsverwahrlost,
6680	11420	denen geht es noch viel zu gut. Sie sehen immer noch nicht ein, dass der Staat der
11420	16920	Feind ist. Ich meine, nur weil ich sage, dass der Staat der Feind ist, heißt es ja
16920	20360	nicht, ich möchte gerne, dass ihr alle Modus auf Kopfgehts benutzt und das
20360	24160	nächste Bullenauto einschmeißt, was ihr seht.
24480	31120	Das sage ich ja gar nicht. Ich sage nur, macht euch mal klar, dass es eine
31120	35400	naive Vorstellung ist, dass ihr irgendwann gerechnet werdet oder dass der Staat euch
35400	40840	gerne hilft oder so. Wenn der Staat euch hilft, dann tut ihr das nur, weil es nicht
40840	44040	anders geht. Es gibt schlichtweg keine andere
44040	47760	Möglichkeit. Bismarck hat damals die Sozialreform eingeführt, weil er gesehen hat,
47760	52760	dass das System kollabiert. Er muss was machen, weil sonst der schöne
52760	56040	Kapitalismus nicht mehr funktioniert.
68320	78200	Ich habe gerade unten hier an der Straße, unten bei mir am Block, da cornern
78200	83480	immer so ein paar Dudes. Die stehen da immer, wenn ich mit dem Fahrrad nach
83480	87480	Hause fahre. Und eben gerade bin ich da mal ran und habe festgestellt, das sind
87480	91680	Polen und das sind Gastarbeiter, klassische Gastarbeiter. Die kommen hier
91680	97600	für einen gewissen Zeitraum her und dann sind sie wieder weg. Ich
97600	102920	dachte mir, ich habe gerade Bock und heute ist Sonntagabend und ich
102920	105600	gehe einfach mal hin, habe ein Sixpack Bier mitgenommen und habe mich da
105600	109600	hingestellt und die ein bisschen vollgequatscht. Und einer von denen, der
109600	113480	ist wirklich nur vier Tage hier und dann fährt er weiter und der andere ist
113480	118840	irgendwie ein paar Monate hier und die haben so unterschiedliche Aufträge,
118840	122880	was die halt so machen. Es ist im Wesentlichen Humankapital und sie haben
122880	126960	mich gefragt, wie das mit den Wohnungen ist, ob es vielleicht günstigere
126960	132120	Lösungen gäbe, für einen kurzen Zeitraum in den Wohnungen einzuziehen. Und dann habe
132120	136000	ich ihnen gesagt, wie es ist, so hier gerade bei mir. Aber natürlich sind das
136000	140040	alles unmöblierte Wohnungen. Und das Businessmodell, was sie brauchen, ist ja
140040	143760	genau das, wo sie scheinbar schon sind. Also Leute, die dann sozusagen
143760	149000	fertigmöblierte Wohnungen vermieten. Und da ist sozusagen der Aufschlag
149000	152280	natürlich das Risikokapital, dass die nicht immer besetzt werden und so ein
152280	157240	Scheiß. Und deswegen kommen sie natürlich nicht günstiger dabei rum.
157240	162240	Und ja, irgendwie stand ich halt da unten und habe so ein bisschen mit denen
162240	165480	gequatscht und ein bisschen Bier und ein bisschen Vodka getrunken, was die halt so
165480	172240	da hatten. Und dann dachte ich mir so, okay, als die dann reingehauen sind, weil die
172240	178080	müssen morgen um vier, um fünf aufstehen, bin ich so nach Hause und dachte mir so,
178080	183080	ah der Boy, du müsstest eigentlich mal ein Video machen, aber worüber? Und ich habe
184040	188520	natürlich einige Videos in der Pipeline, also nicht schon gemacht, aber von denen ich
188520	192520	weiß, dass ich sie demnächst machen werde. Aber es ist alles so ein bisschen
192520	196880	unklar im Moment, wann ich Zeit dafür habe. Insbesondere die ganze Sache mit den
196880	199520	Wirtschaftswissenschaften, die frisst mich halt jetzt richtig auf. Ich habe schon so
199520	203600	viel gemacht. Aber ich wollte noch mal ein bisschen einfach mal noch mal so ein
203600	208880	Video rein spitzen, so zum quatschen. Gerade noch mal so ein Statement zur
208920	217280	Ukraine auch machen. Ich hatte nämlich den Tag noch mal so ein Gedanken. Also mal
217280	222240	angenommen, diese Sache mit der Ukraine und Russland
222240	226400	verstetigt sich jetzt und wird so eine Art statisches Regime, dass da jetzt
226400	234360	permanent Krieg ist. Dann könnte ich mir vorstellen, dass man also erst mal muss
234360	237920	ich so ein Statement abgeben. Ich fühle mich irgendwie genötig dazu,
237920	242200	ein Statement zu machen und ich habe es auch nicht so explizit gemacht. Ich glaube
242200	249240	nicht, dass man irgendwie sich selbst links bezeichnen kann und trotzdem noch
249240	255000	irgendwie für Russland argumentieren kann. Das geht nicht. Offensichtlich ist
255000	257840	Russland der Aggressor. Das habe ich auch schon mal gesagt. Das sind im Prinzip die
257840	261600	Imperialisten, die erfinden eine Geschichte und wollen andere Leute
261600	265760	unterdrücken und andere Länder einnehmen und über das Schicksal von
265760	270320	vielen Millionen von Menschen entscheiden und auch viele Leute töten.
270320	275120	Deswegen alleine muss man Russland verurteilen und die sind halt scheiße.
275120	279920	Ich habe aber auch schon mal gesagt in einem Gespräch mit Wetzold, den ihr
279920	282440	vielleicht gar nicht kennt, ich werde euch das verlinken. Das ist so ein Typ,
282440	289200	der farmt gerne so ein bisschen rechts außen. Ich schätze ihn, er selber
289200	292120	bezeichnet sich als Mitte, was auch immer das bedeuten soll.
292440	296160	Das sagt er bestimmt auch generell oft, aber ihr könnt euch das gerne reinziehen.
296160	299200	Das Gespräch, das haben wir damals aufgenommen, kurz nachdem Putin in die
299200	306320	Ukraine eingemarschiert ist und da habe ich auch schon gesagt, so ich kann schon
306320	309880	verstehen Leute, die sozusagen da bleiben und ihr Land verteidigen und ich kann
309880	318280	auch die Leute verstehen, die reinhauen und so und ich denke, wenn man sich selber
318520	322480	als links bezeichnet oder auch als Anarchist, dann ist es eigentlich
322480	329120	offensichtlich, dass man ganz klar dagegen sein muss. Das Problem ist, ich
329120	332760	denke, wenn sich das jetzt länger hinzieht, über Jahre hinweg vielleicht dieser
332760	340600	Konflikt, dann könnte sich so eine stationäre Regime einpendeln, indem die
340600	345120	sozusagen die Solidarität für die Ukraine und damit meine ich
345680	351440	die Machtherarchie, das Land, in dem Moment, in dem man anfängt in diesen
351440	356280	beiden Lagern zu denken, wenn sich das so langsam einpendelt, dann könnte es sich
356280	359640	zu so einer ähnlichen Situation entwickeln, wie die Scheiße, die man
359640	364040	jetzt seit Jahrzehnten mit Israel hat. Also dass sich sozusagen die
364040	367920	Antideutschen irgendwann dazu entschließen, jetzt auch unbedingte
367920	372240	Solidarität mit der Ukraine zu empfinden und alles, was auch nur ansatzweise
372240	376320	kritisch ist, gegen ein Land, was hochgradig nationalistisch ist, wie zum
376320	380920	Beispiel Israel, da ist es ja auch so, man hat hochgradig konservative
380920	388200	nationalistische Asis, die im Prinzip einfach scheiße drauf sind, einen Staat
388200	392240	führen, der scheiße drauf ist, aber natürlich in der extremen
392240	398400	Verteidigungshaltung sind und deswegen, weil sie irgendwie umzingelnd von
398400	402360	Aggressoren sind, irgendwie so eine Art Sympathiebonus bekommen, von
402360	406720	sogenannten selbsternannten Linken irgendwie hochgehalten werden und ich
406720	409920	könnte mir vorstellen, dass sich irgendwann vielleicht so ein Regime
