start	end	text
0	6920	Angebot ist groß. Gab es früher vier Kollektionen im Jahr, sind es heute bei Fast-Fashion-Anbietern bis zu 24.
9240	14320	Maria Rodriguez Mateo ist 21 Jahre alt und studiert Modedesign in Madrid.
14640	17640	Nebenbei arbeitet sie in einem Klamottenladen.
17640	23880	Wenn ich mich stark fühle, ziehe ich mir Absatzstiefel an oder Pöms mit hohen Absätzen und ein enges Kleid.
24720	26720	Oder eins meiner Lieblingsteile.
27120	29120	Es geht darum, wie ich mich darin fühle.
30240	33040	Wisst ihr, wie man das in der KI-Forschung nennt, was die da machen?
35040	37040	Das nennt man...
37680	40320	Reward-Hacking. Was die machen, ist Reward-Hacking.
40560	47520	Sie wissen, dass es scheiße ist, aber sie haben halt eine Kostenfunktion, die ihnen sagt, man muss noch mehr konsumieren. Das ist so dumm!
50920	53480	Das ist einfach so... ganz schlimm.
54440	58640	Das ist das Tolle. Es gibt so viel Auswahl zu einem so günstigen Preis.
58800	60800	Das ist so toll.
64800	66800	Shoppen!
67520	71520	Warum guckst du mir das an? Das ist so schlimm, es tut so weh.
73520	75520	Oh nein, jetzt gehen die shoppen.
81520	83520	Oh nein.
89520	96480	Dann können wir noch zu Stradivarius und zu Zara. Mal sehen, was wir da finden.
96960	98960	Ist gut, alles klar.
100080	108360	Der weltweite Kleiderkonsum hat sich einer Studie von McKinsey zufolge zwischen 2002 und 2015 mehr als verdoppelt.
109160	111960	Gleichzeitig tragen Verbraucher ihre Kleidung nur noch halb solange.
113080	115080	Natürlich. Ich liebe dieses Kleid.
115600	120800	Es ist ja eine Erhaltungsgröße. Die Lebenszeit der Konsumenten ist ja immer noch eine konstante.
120880	128520	Wenn man jetzt sozusagen mehr Kleidung auf die draufschmeißt, dann können sie ja, also wenn man doppelt so viel Kleidung hat, können sie nur noch die Kleidung halb solange tragen.
128520	130840	Weil wie soll das gehen? Sie haben ja immer noch genauso viel Lebenszeit.
132000	140520	Aber irgendwo in der Stoffwechsel, in diesem Metabolismus zwischen diesem ganzen Scheiß mit dem Fashion, ist das stecken geblieben, weil das darum...
140920	149960	Also das ist ja der Ursprung. Der Ursprung ist ja, ich kleide mich, um mich damit auszudrücken, um irgendwie so einen Fauntanz aufzuführen, damit ich jetzt gefickt werde.
149960	164840	Aber nein, dann ist so ein Scheiß von wegen, ja, ich aus dieser Kultur sozusagen emergiert von wegen, ja, ich muss jetzt hier aber mal, ich muss jetzt hier mal richtig krass irgendwie mich ausdrücken und so meine Persönlichkeit.
170520	191320	So Leute, ich habe im Twitch Fast Fashion von Arte geguckt und bin fast gestorben dabei und hab dann wieder, ist alles wieder aufgekocht.
192120	202760	Diese ganzen Gefühle, die ich schon mal hatte, als ich, die ich verarbeitet habe in diesen beiden Videos, wo ich darüber rede, dass die Tussis hinter mir im Zug sich die ganze Zeit über die Boys unterhalten.
203640	215480	Und ich habe jetzt in Twitch zwei Sachen gesehen, einmal Fast Fashion und dann gestern gerade die Sache mit dem Pornokonsum und was das mit der jugendlichen Generation macht.
