start	end	text
0	4800	Wenn man den Leuten die Freiheit rüberreicht, ihr dürft euch entscheiden,
4800	8400	dann darf man sich nicht wundern, dass es Leute gibt, die ihren Ängsten nachgehen und sagen,
8400	10200	okay, dann lass mich halt nicht impfen.
10200	13400	Sich darüber zu empören ist halt einfach nur dumm und naiv.
13400	17600	Das ist so banane und das Einzige, was daraus entsteht, ist Offendismus.
17600	20000	Und das habe ich, das ist, das weiß man vorher.
20000	21200	Das weiß man vorher.
21200	24400	Das Problem ist sozusagen, dass die Leute, die in der Regierung sitzen,
24400	26000	keine Game Designer sind.
26000	27600	Die sind einfach zu dumm.
28200	29200	Das weiß man vorher.
29200	30600	Das war vorher schon klar.
30600	34800	Und wenn sie zu dumm sind, das nicht zu sehen, dann ja, dann sind sie fehl am Platz in ihrem Job.
34800	35600	Ist ja völlig klar.
35600	40400	Sie hätten das, wenn überhaupt, wenn sie sozusagen in einem System ohne Impfzwang
40400	43000	möglichst viele Leute dazu bringen wollen, sich impfen zu lassen,
43000	45400	dann müssen sie sozusagen dieses Prinzip durchbringen,
45400	49400	dass man erstmal, dass jeder einen Impfvorschlag nach Hause geschickt bekommt,
49400	51400	anstatt dass sich jeder einzeln darum kümmern muss.
51400	54600	Am besten noch mit einer völlig beschörten IT-Infrastruktur,
54800	58600	die keiner durchblickt und die total inkonsistent ist und die auch ständig krachen geht.
58600	60800	Aber das ist halt immer das Gleiche in Deutschland.
60800	63800	Die Umsetzungen für sowas sind immer extrem dumm.
63800	64800	Extrem dumm.
64800	68000	Und ich erwarte von einer Regierung, die von Experten geführt wird
68000	71000	und von hochqualifizierten Leuten, die Berufspolitiker sind,
71000	75200	also die quasi ihr Leben lang studieren, um dann Politiker zu werden,
75200	77000	dass die über sowas mal nachdenken.
77000	78200	Aber was soll ich sagen?
78200	80400	Die studieren halt offensichtlich Müll.
80400	82800	Dann sollten sie lieber Game Design studieren.
82800	85400	Da würden sie mehr darüber lernen, über ihren eigentlichen Job.
85400	87600	Oder, keine Ahnung, mal was Ernsthaftes studieren,
87600	91200	was mit Skill zu tun hat, wo man sich mal was draufschafft,
91200	93800	wo man vielleicht Mensch wird und daran wächst an den Herausforderungen,
93800	95200	die man da in seinem Studium löst,
95200	97800	anstatt irgend so einen Scheiß wie Politikwissenschaften oder,
97800	101000	was weiß ich, irgendeine Soziologie, die einem nichts bringt,
101000	102800	wo die Leute nicht mal Paper lesen hinterher können
102800	105800	und vor allem immer noch nicht das mit den Wahrscheinlichkeiten checken.
105800	107800	Das ist echt lächerlich, ne?
107800	109800	Das ist halt einfach mal lächerlich.
112800	139600	So Leute, ich habe in der letzten Zeit nicht so viel in mir reingezogen.
140400	142400	Ich hatte halt auch immer so ein bisschen zu tun
142400	148000	und hab, wenn ich Zeit habe, eher mit irgendwelchen Homeboys Bier getrunken.
148000	152400	Aber ein Thema ist, kommt man natürlich nicht dran vorbei.
152400	157800	Und ich wollte auch mal schon immer jetzt irgendwie mal ein Video über
157800	160400	die Spaziergänger und die Querdenker.
160400	165800	Und ihr wisst schon, das Ganze, den ganzen Offendismus bezüglich Corona
165800	168800	und der Tagespolitik, da wollte ich mal ein Video darüber machen
168800	171000	und einfach mal ein bisschen quatschen.
171000	176400	Also, dieses Video hier ist jetzt nicht irgendwie eine Offenbarung oder so,
176400	178800	oder ich habe jetzt hier auch nicht irgendwie die Lösung.
178800	182600	Die Lösung habe ich nicht, abgesehen natürlich vom Anarchosyndikalismus,
182600	186000	aber den kennt ihr ja schon.
186000	188600	Ich will einfach ein bisschen quatschen.
188600	191800	Ich habe die Lösung jetzt hier nicht im Rucksack rumliegen zum Beispiel.
191800	194800	Ich habe einfach nur so meine Gedanken und
194800	196800	ich habe eh schon jetzt irgendwie eine Woche kein Video gemacht,
196800	198600	deswegen wollte ich einfach mal ein Bier trinken.
198600	202600	Abends hätte schön, Sonntagabends um noch ein bisschen gechillt,
202600	204000	ein Bier trinken und ein Video machen.
211400	214800	Also, dieses ganze Thema mit dem Offendismus ist so heftig.
214800	217400	Es gibt nur noch so, bist du geimpft?
217400	218800	Bist du schon geimpft?
218800	220400	Hast du schon gehört?
220400	223300	Der lässt seine Kinder impfen.
223300	226900	Und es ist wirklich ein reines Geifern
226900	232300	über sozusagen die persönlichen Einstellungen von anderen.
232300	235900	Und ich finde, die Leute machen immer noch diesen Fehler
235900	237900	und das wird sich auch nie ändern.
237900	240100	Sie fangen an immer inhaltlich zu argumentieren,
240100	242100	wo es überhaupt nicht angebracht ist.
