start	end	text
0	5280	Wie so ein Narrativ beim Schlager, die Welt kann gut sein, heile Welt konstruieren, blablabla.
5280	8760	Ich denke, was die machen, ist, die konstruieren so eine heile Welt, die nie existiert hat,
8760	11440	wollen da aber irgendwie zurück und nennen das dann Gesellschaft.
11440	15760	Das erzeugt vor allem ein Verlangen und eine Erwartungshaltung, die dann natürlich enttäuscht wird.
15760	36080	So Leute, ich habe jetzt mal eine Beobachtung für euch. Wenn immer ich Frauenstimmen höre,
36080	42200	hohe Frauenstimmen, dann geht bei mir im Kopf ein Schalter um und ich muss den aktiv wieder umdrehen
42200	46800	von wegen, ich kann hier nicht zuhören oder ich kann die Person nicht ernst nehmen oder irgendwas.
46800	52080	Und ich frage mich natürlich selber, wie kann das sein, wieso bin ich so drauf?
52080	60560	Und die einzige Erklärung, die ich habe, ist, dass hohe Frauenstimmen korrelieren irgendwie mit
60560	67920	Kinderstimmen. Und bei Kinderstimmen schaltet man automatisch so ein und macht den Patenalismus,
67920	75200	klickt sozusagen den Patenalismus um und dann kann man die Person irgendwie nicht mehr ernst nehmen.
75200	83000	Also ich muss aktiv mich dagegen entscheiden und zuhören, um das auszuschalten und eine
83000	87200	alternative Erklärung wäre vielleicht, weil wir im Patriarchat leben, werden die wichtigen
87200	92520	Sachen immer von Männern gesagt sowieso und viele Mutti sozusagen müssen die ganze Zeit immer wieder
92520	97280	denselben Kram runterleiern und für Kinder irgendwas erzählen, weil sie die Care Work machen.
97280	101240	Deswegen braucht man da gar nicht hinhören, es geht einem eh nichts an und es spielt auch
101240	106480	keine Rolle und irgendwie Kinder ermahnen, das ist was für Muttis, deswegen braucht man gar nicht
106480	111400	hinhören, das ist nicht so wichtig. Und es geht auf jeden Fall nicht nur mir so, ich kenne auch viele
111400	117120	Frauen, die das auch bestätigen, dass es selbst den Frauen so geht. Und das ist auf jeden Fall
117120	123280	interessant. Nichtsdestotrotz, die Schlussfolgerung, wenn das jetzt mal so ist, dass es vielen so geht,
123280	130240	wäre ja, wenn man Marketing betreiben will und viele Leute erreichen will, per Default,
130240	135200	na dann muss man auf jeden Fall eine tiefe Männerstimme nehmen, die einem irgendwie was sagen
135200	140640	will. Also als Werbeformat jetzt zum Beispiel. Wo Frauenstimmen würden also nicht funktionieren,
140640	145720	wenn man viele Menschen erreichen will. Einfach weil ich davon ausgehe, wie gesagt, dass es auch
145720	153520	bei Frauen tatsächlich so ist. Und wenn ich jetzt sozusagen eine Zielgruppe habe,
153520	157840	bei einem normalen Marketing, dann kenne ich ja vorher meine Zielgruppe schon, dann kann ich
157840	164320	Kasualisierung gezielt auf meine Zielgruppe machen. Und warum erzähle ich das jetzt hier alles? Weil
164320	171720	ich eigentlich über etwas reden will, was ich vorauseilende Kasualisierung nenne. Und was meine
171720	178400	ich damit? Naja, wenn ich jetzt noch nicht genau meine Zielgruppe kenne oder ich habe eine Kampagne
178400	184240	oder ich spreche zu einer heterogenen Menge von Menschen und ich will jetzt möglichst viele
184240	190440	rausfiltern, die auf meine Agenda drauf passen, dann mache ich am besten vorauseilende Kasualisierung,
190440	197240	insofern, dass ich die rauskriege, die sich noch nicht für mich entschieden haben, aber die trotzdem
197240	202920	dazu tendieren. Also quasi zum Beispiel sowas wie Leute, die sich selbst in der Mitte positionieren
202920	210880	würden oder so. Und da muss ich quasi vorauseilende Kasualisierung irgendwie machen. Und mich erinnert
210880	218240	das, also ich erinnere mich zum Beispiel noch richtig gut an das Gespräch von Erwin mit
218240	225720	Franziska Schreiber. Und da wurde ja ausformuliert, dass die Rechten vor allem deswegen gewinnen,
225720	233040	weil die Linke sich schlecht in den Nachrichten und in den Medien darstellen. Und damit meinen
233040	240560	sie zum Beispiel, dass irgendwelche Antifa völlig durchdreht auf der Straße und was,
240560	244720	was ich das Auto von der Krankenschwester abfackelt. Und ja, ich denke natürlich,
244720	250040	das bringt niemanden, was das Auto von der Krankenschwester abzufackeln, klar. Und das
250040	254480	ist sicherlich auch nicht ganz falsch, aber man darf folgendes nicht vergessen, der Bürgi,
254640	258200	das habe ich ja schon in meinem anderen Video erklärt, der hat so ein Gleichrichter am Kopf.
258200	263680	Der Bürgi in der Mitte jetzt, der sich selbst da in der Mitte verorten möchte und bloß nicht links
263680	268560	oder rechts sein will, der rutscht grundsätzlich immer nur nach rechts. Das habe ich schon erklärt.
268560	276520	Und gerade hatte ich jetzt im Twitch erst diese zweiteilige Doku-Reihe von Arte gesehen zur
276600	281960	Polizeigewalt, will ich es mal nennen. Es ging eigentlich um diese nicht tödlichen
281960	288760	Gummigeschosswaffen-Dinger. Aber bei dieser Doku wurde auch viel gezeigt,
288760	293440	so von wegen, wie sind so die Polizeitaktiken zum Beispiel einkesseln und so ein Kram und die
293440	298480	ganzen anderen scheiß Aktionen, die jetzt das Gewaltmonopol, das wir Staat nennen, so durchzieht.
298480	306520	Und ich denke, es würde super nützen, wenn Medien da auch ein Fokus drauflegen. Ist ja klar,
306520	312280	wenn das so wäre, das wäre super. Aber quasi das selbst, das komplett harmlose Veranstaltung
312280	318520	von Polizisten irgendwie durch völlig unnötige Gewalt zum Eskalieren gebracht werden, dafür gibt
318520	324720	es ja sozusagen auch Beispiele. Aber jetzt mal abgesehen davon, ich denke grundsätzlich,
325200	331280	dass so Antifa-Gruppen überhaupt gar nicht im Wettbewerb mitspielen wollen und deswegen auch
331280	338080	überhaupt keine vorauseilende Kasualisierung betreiben wollen. Und ja klar, Franziska Schreiber
338080	343080	wird wahrscheinlich recht haben, wenn sie dann sagt, okay, dann geht der Punkt aber an die Rechten,
343080	350120	weil sie das in ihren Medien und generell auch in den Medien der Mitte sozusagen so ausfallen
350120	354360	wird, dass am Ende die Rechten besser dastehen, einfach weil die Linken schlecht dastehen. Das
354360	360600	Ding ist aber halt Kasualisierung meiner Meinung nach für Rechte oder typischerweise sieht ja
360600	365800	irgendwie so aus, jetzt mal wieder weg von der Antifa-Gruppe, einfach nur klassisches Ding,
365800	371320	Klimawandel. Sagen wir mal, eigentlich müsste jetzt in den Medien sowas gesagt werden,
371320	378040	wie hier Klimawandel, die letzten Jahrzehnte, ist zu wenig passiert. Insbesondere in den 16 Jahren
378040	382440	Merkel ist ja im Prinzip gar nichts passiert, wir haben ja auch abgebaut und so. Sagen wir mal,
383000	389280	und Merkel war ja selber mal für das Ressort Umwelt verantwortlich und es gibt sozusagen noch
389280	393080	witzige Zitate von früher, wo sie sagt, hier Klimawandel ist wichtig und so und sie ist ja auch
393080	399760	Naturwissenschaftlerin. Aber ja, und jetzt ist es so, dass, was weiß ich, rechte Positionen oder
399760	402720	rechte Politiker können ja nicht mal die Trinkwasserversorgung, können ja nicht mal
402720	407520	einen Spruch machen zur Trinkwasserversorgung und Stefan Schulz hat ja auch schon gesagt,
407520	412800	in diesem Sommer ist die Trinkwasserversorgung selbst der großen Städte in Deutschland nicht
412800	417320	irgendwie geregelt und konservative Politiker haben überhaupt nichts beizutragen für sowas.
417320	423920	So würde ich mir das vorstellen, dass das eigentlich, dass sowas in der Medienlandschaft
423920	430160	erklärt werden müsste, aber das tut dem Konsumentenfee tatsächlich viel zu weh. Das
430160	436080	ist viel zu kritisch gegenüber den armen rechten Parteien oder bzw. denen, die sie selber bürgerliche
436080	441200	mitten nennen und so, also CDU. Und ja, was passiert dann? Naja, am Ende gibt es dann lieber
