start	end	text
0	20960	Dieses Video wird wieder so ein, ich denke über Hierarchien nach und fange mit einem
20960	28820	Mathe-Rätsel an Video und wir waren ja beim letzten Mal so weit, dass wir erkannt haben
28820	36520	Machtherarchien sind nur dazu geeignet, die Weltherrschaft an sich zu reißen und die
36520	45200	Menschheit zu zerstören und dann haben wir geklärt, dass das Geheimnis ein ganz wichtiges
45200	51620	Tool von Machtherarchien ist, um Demokratie entgegenzuwirken und jetzt, heute soll es
51620	58300	um Verantwortung gehen und das Rätsel, mit dem ich diesmal anfange oder beim letzten
58300	65780	Mal war es, glaube ich, irgendwas mit Wahrscheinlichkeitsrechnung, diesmal ist es der Klassiker, das Philosophen-Rätsel,
65780	69860	das wurde mir mal von einem Kumpel gestellt und ich glaube, ich habe es nie selber gelöst,
69860	76620	sondern mir wurde irgendwann die Lösung verraten und es geht so, Sokrates, Platon und Aristoteles
76620	83980	chillen und sie sind irgendwie hart am saufen und schlafen in der Mittagssonne ein, irgendein
84980	91980	und schmiert den irgendwie mal den Dickpicks auf die Stirn oder so. Jetzt wachen die alle
91980	96940	drei auf und gucken sich gegenseitig ins Gesicht, sie sitzen also in so einem Dreieck und gucken
96940	103580	sich alle an und fangen an, sich gegenseitig auszulachen und einer von den Philosophen
103580	109820	schlussfolgert durch beinharte Logik, sage ich mal, dass er selber einen Dickpick in
109820	113060	der Fresse haben muss und deswegen hört er auf zu lachen, woraufhin die anderen dann
113060	119220	auch aufhören zu lachen und das Rätsel lautet nun, erstmal, der Typ war natürlich Platon,
119220	125180	wie hat Platon das rausgefunden und ihr könnt ja selber jetzt ein bisschen darüber nachdenken,
125180	129140	aber ich verrate euch jetzt die Lösung natürlich, wenn ihr selber darüber nachdenken wollt,
129140	136420	dann dürft ihr jetzt nicht weiter gucken. Es ist so, Platon denkt sich, okay, mal angenommen,
136420	142500	ich habe keinen Dickpick in der Fresse, dann sehe ich ja die beiden lachen, also nehme ich an,
142660	147380	die lachen sich gegenseitig aus. Ich sehe ja nicht, wo sie hin, sie lachen, sondern nur,
147380	150260	dass sie lachen, deswegen gehe ich davon aus, sie lachen, weil der andere einen Dickpick in
150260	155300	der Fresse hat. Wenn das aber so ist und ich keinen Dickpick in der Fresse habe, würde ja zum
155300	160180	Beispiel Aristoteles sehen aus seiner Perspektive, da gibt es nur einen mit einem Dickpick in der
160180	166980	Fresse und der lacht. Platon hat aber keinen Dickpick in der Fresse laut Annahme, das heißt,
166980	170340	ich muss einen Dickpick in der Fresse haben, das heißt Aristoteles müsste aufhören zu lachen,
170340	173540	beziehungsweise Sokrates müsste denselben Gedankengang haben, die sind ja eigentlich
173540	179860	auch schlau, haben sie aber nicht und weil sie da nicht aufhören zu lachen, muss Platon einen
179860	185140	Dickpick in der Fresse haben. Das ist die Schlussverhörung und das ist jetzt erstmal irgendwie,
185140	188660	also als ich das Rätsel damit bekommen habe, ich habe es wie gesagt nicht gelöst, keine Ahnung,
188660	195620	wie alt ich da war, vielleicht 16 oder so, ich fand das erstaunlich und was man hier braucht,
195620	202660	um das zu lösen. Platon muss sich selbst als Teil einer Kette von Wechselwirkungen betrachten,
202660	206580	um nicht zu sagen, er muss das mit der Emergenz verstehen. Das geht aber nur,
206580	209940	wenn er darüber nachdenkt, wie die anderen Teilnehmer wechselseitig in Beziehung
209940	215980	zueinander stehen und er selbst davon Teil ist und weil er ja selber lacht, sozusagen ist auch
215980	222060	aufrechterhält und ich habe ja in meinem Emergenz-Video schon gesagt, das ist natürlich ein bisschen
222180	226940	länger, es passt deswegen nicht ganz in diese Reihe herein, durch das Zerstückeln der Realität in
226940	234060	einzelne kleine nicht überlappende Schulfächer oder sogar Zuständigkeitsbereiche in Verwaltung.
234060	239420	Dadurch machen wir alles kaputt. Wir legen die Verwaltung eigentlich dadurch lahm,
239420	244340	weil jegliche tatsächlich existierenden Grauttonen zwischen diesen Bereichen,
244340	250020	die wir aufspannen, dadurch, dass wir es in einzelne Ämter, Verantwortung in einzelne Ämter
250020	255420	abgeben und einzelne Schubladen aufmachen, gibt es diese Grauttonen, die nicht abgedeckt sind und
255420	260020	die existieren quasi auf dem Zettel gar nicht, diese Grauttonen und insbesondere merkt man das
260020	265980	immer dann, wenn jetzt irgendwie die Zuständigkeit nicht geklärt ist, also wenn das eine Amt sagt,
265980	269180	ja geh mal dahin und dann sagt das andere Amt, ja geh mal wieder dazu zurück, wir sind nicht
269180	275060	zuständig und ich denke und das ist jetzt eigentlich die Aussage von diesem Video hier,
275060	282140	die Rückrichtung, die gibt es garantiert auch, nämlich dass eine zerstückelte Verantwortung nicht
282140	289100	nur nicht die Emergenz verwalten kann, sondern sich auch jeder Teilnehmer irgendwie in einer
289100	294780	Bürokratie dazu verpflichtet oder gezwungen fühlt, genau darauf zu achten, nur in seinem eigenen
294780	300780	Sandkasten zu spielen. Es gibt aber schlicht Problemlösungen, die eben eigentlich das
300780	305620	Erfordern, dass man auch in den anderen Sandkasten reinguckt, also dass man wie Platon in den anderen
305620	311180	rein guckt und sich überlegt, was der gerade macht, so das heißt irgendwie Bürokratie kann
311180	317860	in diesem Sinne gewisse Problemsorten per se gar nicht lösen, weil sie sicher, weil sie nur in ihren
317860	327780	eigenen Sandkasten reingucken, per Design und ich denke Verantwortung wird in Bürokratien auch so
327780	332300	zerstückelt, genau dadurch kann man ja, also habe ich schon gesagt, Verantwortung wird genauso
332300	340460	zerstückelt wie die einzelnen Hyperrealitäten dieser Bürokratien, auf die sie drauf gucken und
340460	346700	genau dadurch kann man kann jedes kleine Organ sich auch immer richtig sicher fühlen, das Richtige
346700	352300	zu tun, wenn es sozusagen dient, nach Vorschrift macht und genau auf seine eigene Verantwortung nur
352300	358980	guckt und sich ganz sicher ist, ok ich habe alles getan, was ich tun muss und dadurch ist es so,
358980	366700	dass ist irgendwie Verantwortung problemlos, die von einigen Leuten übernommen werden könnte,
366700	373900	aber nicht übernommen wird und lieber hin und her geschoben wird, weil sicher jeder denkt,
373900	381100	oh jetzt gehe ich ja ein Risiko ein, da handle ich ja über meine Kompetenzen hinaus. Das soll aber
381140	386700	gerade nicht passieren und ich denke, das hat damit zu tun, dass die Leute in dieses Dogma schon so
386700	393500	reingebacken werden, das wird ihnen ja quasi gesagt, mach das nicht und anstatt, also was weiß ich,
393500	398860	ich muss ja ständig Berichte schreiben, weil ich ja in dem dritten Mittel geförderten Projekt an der
398860	404060	Uni bin, also prekär beschäftigt, so wie fast jeder an der Uni und da ist es so, man muss immer mal
404060	408380	Berichte schreiben, einmal pro Jahr oder so und wir haben natürlich jemanden, der ist dafür
408380	412020	verantwortlich und wir haben Gruppenleiter und Forschungsleiter und die sind so in einer
412020	417620	Pyramidstruktur, Peter prinzipmäßig, Parkinson gesetzemäßig strukturiert und ich habe sozusagen
417620	422740	einen direkten Vorgesetzten, der kriegt jetzt eine E-Mail von seinem Vorgesetzten und die kleckert
422740	429460	dann so runter und da steht drin hier in dem Bericht 3.4.1, da fehlt irgendwas und ich könnte
429460	434740	das natürlich sofort uploaden und verbessern in dem Google Docs oder in irgendeinem Dokument,
434740	438940	wo wir alle darauf zugreifen, aber das geht nicht. Ich muss das Dokument dann wieder
438940	441900	zurückschicken an den, der muss es wieder zurückschicken an den und da muss es dann
441900	446340	eingepflegt werden per Hand mit Copy Paste oder so, in ein großes Wirtdokument wahrscheinlich,
446340	450820	weil das halt auch Lappen sind, die dann auch Wirt benutzen und so, egal. Das Ding ist,
450820	458260	Berichte, also und das ist natürlich bescheuert, also das liegt nur daran, dass es da jemanden gibt,
458260	462540	der explizit verantwortlich gemacht wird, der ist verantwortlich dafür und der wird abgestellt
462540	465660	und das ist sein Job, jetzt sich darum zu kümmern, dass die Sache mit dem Bericht läuft.
465660	469740	Überlegt euch mal, was das für eine Zeitverschwendung und für eine Ressourcenverschwendung ist,
469740	474820	dass da jetzt jemand das machen muss und der neigt natürlich dann aber auch wieder so,
474820	481100	sich von allem anderen abzugrenzen in dem Moment, sobald seine Zuständigkeit zu Ende ist. Das betrifft
481100	485220	auch oft dann die Inhalte dieses Berichts, weil meistens sind diese Leute ja gar nicht fähig,
485220	490020	jeden einzelnen Bericht, den sie da verhalten, verwalten überhaupt zu verstehen, weil das ja
490020	494340	mehrere Forschungsgruppen betrifft und die haben halt viele Interna und so und das sind ja sozusagen
494340	497580	ist das State-of-the-Art-Forschung, woher soll diese eine Person das kennen, das sind meistens
497580	501700	irgendwelche Verwalter oder irgendwelche Lappen-Kinder, die an der Uni irgendwas studiert haben und dann
501700	509620	doch einfach nur Verwalter werden und das ist krass und jetzt würde man irgendwie sagen, ja gut,
509620	514140	aber jemand muss doch verantwortlich sein, sonst würde sich ja niemand drum kümmern,
514140	519340	sonst würde ja niemand diese Berichte schreiben, ja okay, den Punkt gebe ich, aber das ist natürlich
519340	524540	sozusagen, das ist natürlich sozusagen einfach von oben heruntergegeben dieses Problem, das liegt
524540	529940	ja genau daran, dass niemand Bock hat auf diese Berichte, weil es Schwachsinn ist. Also die Berichte
529940	536060	werden ja nur notwendig, weil die Gelder von Strukturen rausgegeben werden, die mit dieser
536060	539940	Verantwortung definiert werden, die rechtfertigen ja mit der Verantwortung, also sagen wir mal,
539940	543660	ich bin Projektträger, ich habe Gelder vom Staat bekommen und die verwalte ich jetzt,
543660	548020	indem ich sie an Forschungsentrichtungen weitergebe, die mir dann Bericht erstatten. Die
548060	551940	Leben von dieser Verantwortung, das ist ihre Existenzberechtigung, Gelder zu verwalten.
551940	557300	Siehe Dogma der Kontrolle, siehe parkinsonische Gesetze, siehe Peterprinzip Bürokratie, ihr wisst
557300	561140	Bescheid, das ist totaler Schwachsinn. Unis sollten einfach mal so Gelder vom Staat direkt bekommen,
561140	566620	die sollten einfach mehr Kohle bekommen. Niemand sollte an der Uni prekär so beschäftigt sein und
566620	571580	ihr müsst euch mal vorstellen, was für Unmengen Papier und Berichtswesen und Lebenszeit das kostet,
571580	575940	diesen Stoffwechsel am Laufen zu erhalten. Das ist super ineffizient, der Wirkungsgrad ist super
575940	579980	gering. Vor allem kostet es ja auch die Lebenszeit von den Forschern, die die Berichte schreiben,
579980	583620	weil ihr müsst euch vorstellen, die Forscher sind ja eigentlich die, sozusagen die, die unten
583620	587020	greinden, das sind die, die einen Mehrwert erzeugen, das sind die, die die echte Arbeit leisten,
587020	591980	nicht die Verwalter, sondern die, die die Arbeit leisten. Und das sind ja auch noch Leute, die
591980	595380	greinden, weil sie prinzipiell krass sind, also es sind ja die Forscher, das sind ja sozusagen die
595380	600500	Einzigen, die Ahnung von Mathe haben und so. Und die sind jetzt auch noch prekär beschäftigt und
600500	603780	nehmen diese prekäre Beschäftigung auch noch in Kauf, das heißt, es sind auch noch Leute,
603780	607860	die eher nicht die Karriere-Wichser sind und in die freie Wirtschaft gehen, sondern sie forschen
607860	611620	und greinden lieber an der Uni, obwohl sie prekär beschäftigt sind und schlechter bezahlt werden.
611620	617340	Die werden dann auch noch dazu abgestellt, sinnlose Berichte zu schreiben. Das ist so dumm.
617340	624300	Eine Sache ist mir auch noch aufgefallen, den großen Macht-Hierarchien ist es ja auch so,
624300	631660	dass wir, dass die gerne dazu tendieren, wichtige Schlüsselaufgaben an fragwürdige
631660	636460	Dritte auszusorgen. Und wenn das dann irgendwie nach hinten losgeht, dann einfach sich zu
636460	640660	entschuldigen, indem sie sagen, ja, guck hier da, ich habe die Verantwortung zwar gehabt,
640660	647180	aber ich habe sie ja abgegeben an jemand anderes und der hat es verrissen. Also selbst wenn sie die
647180	652700	Verantwortung haben, geben sie sie irgendwie wieder ab und damit einher kann man natürlich,
652700	658980	also Verantwortung kann auch sozusagen nicht stattfinden, selbst wenn jemand verantwortlich ist.
658980	667940	Also ich denke da auch an so korrupte Politiker-Uschis, die irgendwie übelst viel Kohle in irgendwelche
667940	674020	Beraterverträge reindropfen und so. Richtig lächerlich ins Scheiß. Und das bringt mich zu
674020	679860	den Punkten mit der Korruption, weil ich habe ja im Prinzip schon gesagt, die Pyramidenhaftigkeit
679860	685020	der sozialen Struktur, die so eine Macht-Hierarchie typischerweise hat, bietet richtig großen Spielraum
685020	690140	für Korruption. Und aus dieser Sache mit dem Geheimnis folgt theoretisch natürlich sofort,
690140	697340	dass die Möglichkeit für Verantwortungsmitbrauch aka Machtmissbrauch gegeben ist. Und ja,
697340	703740	Korruption findet natürlich nach wie vor statt. Ich habe gerade mal hier noch von 2022 ein passendes
703740	709860	Dokument rausgesucht. Da gibt es so ein Institut, das weltweit Wirtschaftsforschung betreibt in
709860	718820	Sachen Schmiergelder, Korruption, Betrugsmaschen, Rechnungen nicht zahlen und so ein Scheiß. Und
718820	724540	für 2022 ist das aktuelle Papier, haben sie halt da. Kann ich euch die linken Seite auch verlinken.
724540	731260	Und ich finde das Resultat daraus, dass Korruption nach wie vor stattfindet, ist natürlich, dass
731260	739740	bestimmte Menschen, die durch die Verantwortung, also die jetzt durch Verantwortungsbereiche Macht
739740	745500	auf andere Menschen haben, schlicht Dinge durchgehen lassen können und bestimmte offen für
745500	754980	Bestechungsanfälligkeiten oder so sind. Und so wie es aussieht, ist zum Beispiel ja unser Kanzler
754980	761020	so eine Person, die vielleicht gar nicht abgeneigt ist gegenüber zwielichtigen Treffen. Also alles,
761020	769260	was Fabio de Masi die ganze Zeit so raushaut, ist ja sehr vielversprechend in diese Richtung. Und ich
769260	774420	habe ja auch schon erklärt, dass in Bürokratien immer so Parallelgesellschaften automatisch
774420	779740	entstehen von wegen, da gibt es eine Realität, die existiert auf dem Zettel und dann gibt es
779740	783580	irgendwas, was wirklich passiert. Und zwischen diesen beiden Dingen, die laufen parallel,
783580	787180	die müssen eigentlich nicht viel miteinander zu tun haben, außer ganz bestimmt, also die
787180	792820	scheren nicht viel Interface miteinander. Und das führt auch dazu, dass Whistleblower jetzt in
792820	797700	solchen Bürokratien, die vielleicht irgendwie sagen, hey, hier gibt es Korruption, von der
797700	802540	gesamten Gemeinschaft potentiell bedroht werden, weil sie ja alle in einem, also sie hängen ja
802540	808100	alles zusammen durch Emergenz. Sie werden also emergent bedroht. Nicht von jedem Einzelnen,
808100	814020	sondern von dem Kartenhaus, was sozusagen zusammenfallen würde. Sodass irgendwie niemand
814020	820620	am Ende was unternimmt. Das wollte ich nur noch mal hinzufügen, aber ist ja eh nur ein kurzes
820620	829900	Video Reinhorn. Und übrigens, dieses permanente Zerstückeln, das verhindert, wie auch bei unserer
829900	835540	Bildung natürlich, die Draufsicht auf die Totale sozusagen, die totale Perspektive, die wird
835540	839660	komplett verschleiert, weil alle nur darin denken, nur in ihrem eigenen kleinen Sandkasten weiter zu
839660	843900	spielen. Und wie gesagt, niemand fühlt sich richtig angesprochen, wenn irgendwie so eine
843900	850260	Grauzone ist. Und weil es geht sozusagen über die Kompetenz des einen Sandkastens quasi immer
850260	853260	heraus. Und da haben dann alle sozusagen automatisch Angst, weil sie ja in diesem
853260	859220	Dogma der Verantwortung leben. Und wie gesagt, die Verantwortung, ich denke, die spiegelt auch
859220	863420	zurück und macht so eine Konditionierung, dass man gar nicht mehr rausgeht aus einem Sandkasten.
863420	871700	Und ich finde, das sieht man auch immer dann, wenn sich niemand angesprochen fühlt bzw. wenn man
871700	880020	auf so eine ominöse Trägheit der Masse oder der Mehrheit zeigt. Also so eine ominöse Trägheit der
880020	884580	Masse ist ja sowas wie eine emergente Struktur. Also sagen wir mal, wir als Gesellschaft kriegen
884580	889180	es nicht in den Klimawandel in Kraft zu kriegen. Man kann aber nicht auf die Gesellschaft zeigen,
889180	895860	sondern das ist emergent. Und auf internationaler Ebene folgt ja daraus übrigens dann auch direkt
895860	900020	immer diese Schlussfolgerung von diesen ganzen rechten Lappen, die ich immer höre, die schon
900020	904860	direkt aufgeben. Die sagen sowas wie wir als kleines Deutschland, wir können überhaupt nichts
904860	909220	beitragen zum Klimawandel. Darum macht es auch überhaupt keinen Sinn, sich da jetzt zu kümmern
909220	913740	und so zu argumentieren. Ja, typischerweise Rechte. Ist ja egal, welche Rechte, aber alle Rechten haben
913740	919020	diesen Talking Point. Ob das jetzt Libertäre sind oder einfach nur normale FDP-Wechser oder CDU. Es
919020	923820	spielt überhaupt keine Rolle. Dabei ist das Einzige, was wirklich funktioniert, und das wissen wir,
923820	929500	das Nachahmensspiel. Also das ist evolutionär durch Evolutionsdruck sozusagen entstanden,
929500	935460	dass wenn wir eine Strategie bei unseren Nachbarn beobachten oder in einem Nachbarland oder in der
935460	941100	Nachbarkommune, dass wir anfangen diese Strategie zu kopieren und einfach selber adaptieren für uns.
941100	948020	Das ist in uns angelegt. Ich meine, wir haben irgendwie ganze Kulturen dazu entwickelt. Endlich
948020	952020	mal in Ruhe von anderen abschreiben zu können. Dafür haben wir extra Worte entwickelt und so.
952020	957980	Und Geschichten uns quasi erzählt. Und dieses Argument übrigens von wegen Deutschland ist so
957980	961540	klein, ist sowieso totaler Schwachsinn. Wir sind irgendwie die vier größte Wirtschaftsmacht der
961540	968220	Welt. Das müsst ihr euch mal reinziehen. Wenn wir irgendwas machen, dann hat das übelst tonangebenen
968220	973500	Charakter. Insbesondere in der EU, aber auch weltweit. Das ist so dumm. Das ist so dumm,
973500	980700	sowas zu behaupten. Und weil ich ja gerade mir auch die Neoklassik reinziehe, diese Struktur,
980700	984860	diese Denke, die sehe ich in der Neoklassik auch. Ich mache ja gerade, also irgendwann kommt das
984860	990060	Video zu der Supply Curve und ich sage euch jetzt schon mal als Spoiler, die Neoklassik,
990060	995780	da ist es so, die nimmt an, dass im perfekten Wettbewerb jeder Teilnehmer so klein ist,
995780	1002020	dass egal wie viel er produziert von etwas, dass den Preis, den Marktpreis nicht beeinflussen kann.
