start	end	text
0	20760	So Leute, wir denken jetzt nochmal alle richtig theoretisch so über Machthierarchien nach.
20760	24000	Wir machen nochmal so ein Video, weitere Gedanken über Machthierarchien.
24000	33000	Und ich hatte jetzt in meinem Buch ja jetzt auch viel über böse Absicht und gute Absicht und so nachgedacht über das Modell sozusagen.
33000	42000	Und ich habe ja schon erwähnt, Bürokratien jetzt zum Beispiel und generell Machthierarchien haben ja das Problem, dass sie Datenkomprimierung machen müssen.
42000	46000	Und deswegen wird ihr Weltmodell super unvollständig und unterkomplex.
46000	50000	Sie sehen sozusagen nur einen ganz, ganz kleinen Ausschnitt von oberflächlichen Metriken.
50000	54000	Sie sehen nicht mal einen richtigen Ausschnitt der Welt, sondern nur oberflächliche Metriken davon.
54000	62000	Und das führt automatisch dazu, dass in Kontrollhierarchien zum Beispiel auch übelst oft die böse Absicht unterstellt werden muss.
62000	68000	Die böse Absicht ist etwas, was in so Machtzentren und Machthierarchien standardmäßig vorherrscht.
68000	72000	Es herrscht einfach vor. Die böse Absicht ist ein wichtiges Modell dort.
72000	75000	Und jetzt stellt euch mal Folgendes vor.
75000	85000	In einer Welt, in der es überhaupt gar keine böse Absicht gibt in echt, wo alle Menschen keine böse Absicht haben.
85000	89000	Jetzt nur mal so zum Vorstellen, stellt euch das mal vor.
89000	92000	Dann würde es wahrscheinlich trotzdem Folgendes geben.
92000	100000	Wahrscheinlich würde es trotzdem Misstrauen geben, weil ja Informationen fehlen.
100000	112000	Es würde trotzdem diese Idee geben, wir sollten mal bestimmte Abläufe hier in unserer Kommune oder im Land zentralisieren.
112000	121000	Es sollte irgendwie eine zentralisierte Herrschaftsform geben, einfach deswegen, weil wir ja nicht ganz sicher sein können, dass es nie vielleicht doch böse Absicht gibt.
121000	128000	Nochmal, das Modell der bösen Absicht folgt eigentlich daraus, dass es Energie spart, böse Absicht zu unterstellen.
128000	144000	Und man sozusagen Energie und Rechenleistung investieren müsste, um ein besseres Modell oder sein Modell abzudaten, um wegzukommen von der bösen Absicht, um Menschen besser zu erklären und deren Fehlverhalten.
144000	148000	Weil Fehlverhalten gibt es in dieser Welt trotzdem, einfach wegen Unwissenheit.
148000	160000	Und irgendwie habe ich mir dann gedacht, naja, wenn es das trotzdem gäbe, so eine Welt, dann würde es ja trotzdem wahrscheinlich Verwaltung und Machthierarchien geben.
160000	166000	Weil es ja trotzdem diesen Gedanken geben würde, naja, es ist schon sinnvoll, wenn einer hier mal der Chef ist.
166000	169000	Einfach, weil damit alles seine Ordnung hat.
170000	178000	Es gibt sozusagen trotzdem diesen Druckschluss, dass man irgendwie Dinge zentralisieren müsste, die vielleicht gar nicht so gut sind zu zentralisieren.
178000	187000	Und das sollte ja für euch hier auf dem Kanal nichts Neues sein, dass genau dieser Schritt sozusagen zentralisierte Kontrollstrukturen zu etablieren schon das Problem ist.
187000	193000	Weil die ja übelst viele Fehler verursachen, weil sie Datenkomprimierung machen müssen.
193000	199000	Und ich denke, dass auch diese Hierarchien das Modell der bösen Absicht übernehmen würden.
199000	206000	Und jetzt würdet ihr vielleicht sagen, aber es gibt doch in dieser Welt, die du gerade morphed, du hast doch gerade gesagt, es gibt gar keine echte böse Absicht.
206000	208000	Alle Menschen sind cool in dieser Welt.
208000	219000	Ja, aber es gibt ja auch in dieser Welt jetzt hier zum Beispiel Leute, die irgendwelche Dinge glauben, die wir nicht beobachten können.
219000	223000	Zum Beispiel die flache Erde oder den Trickle-Down-Effekt.
223000	227000	Es gibt ja wirklich Leute, die diese Märchengeschichten glauben.
227000	234000	Also wieso sollte man in einer Welt, wo es keine böse Absicht gibt, nicht trotzdem glauben, dass es eine böse Absicht geben könnte?
234000	240000	Und wie gesagt, ich sage ja, vor allem folgt die daraus, dass da irgendwo Informationen fehlen.
240000	243000	Das geht jetzt zurück zu meinem letzten Video.
243000	251000	Und deswegen denke ich, dass auch in dieser Welt es Kriege geben würde.
251000	260000	Denn ich denke einfach, Kriege entstehen, wenn zentralisierte Macht-Hierarchien groß genug werden und sich in Konkurrenz stellen.
260000	267000	Ich habe ja schon gesagt in meinem anderen Video, wo sozusagen der Wettbewerb herkommt, was die Ursache dafür ist.
267000	271000	Ich habe ja gesagt, das passiert deswegen, weil wir diese Kontrollorgane haben.
271000	276000	Also jetzt zum Beispiel zwei Macht-Hierarchien und die sehen sich gegenseitig.
276000	283000	Und in dem Moment, wo sie die böse Absicht in der anderen Pyramide vermuten,
283000	294000	in dem Moment geht die Moloch-Dynamik des Gefangenen-Dilemmas los, dass die sich gegenseitig misstrauen und dann zum Beispiel Aufrüstung betreiben und so.
294000	301000	Und dann sozusagen die böse Absicht, die Geschichte über die böse Absicht einer anderen Hierarchie zu Narrativen führt,
301000	305000	die intern sozusagen zu Märchen-Geschichten führt, was die anderen alles für Unmenschen sind.
305000	314000	Und wenn man irgendwann überzeugt ist, dass da böse Absicht tatsächlich herrscht, dann werden auch Leute, die gut face sind, gewalttätig. Ist doch klar.
314000	321000	Das heißt, auch in so einer Welt würde es Macht-Hierarchien geben und damit sozusagen die ganzen anderen Trugschlüsse
321000	326000	und Artefakte, die wir in unserer Welt jetzt auch beobachten würden.
