start	end	text
0	5000	Es gibt ganz, ganz, ganz, ganz viele Menschen und diese Menschen sind ja alle sehr verschieden.
5000	12000	Deswegen tasten sie alle eine kleine Möglichkeit im Konfigurationsraum unseres Problems ab.
12000	14000	Sie probieren alle unterschiedliche Strategien.
14000	21000	Und wenn der Filter, der oben drüber läuft, Wettbewerb lautet, filtern wir alle die raus,
21000	25000	die nicht Ellbogen machen, sondern auf Solidarität spielen.
25000	31000	Deswegen beobachten wir das, was wir beobachten.
31000	36000	Wettbewerbsfilter ist eine selbst erfüllende Prophezeiung, nicht anders.
36000	56000	Ich habe ja gestern bei den Boys von Critical Infinity im Livestream gesessen und da habe ich die auch gefragt,
56000	61000	ob sie das mitbekommen haben mit diesen 150 ausgewählten Bürgerparlamenten in Frankreich und so,
61000	66000	weil die ja zufällig ausgewählt wurden und dann total basierte Regierungsentscheidungen getroffen haben.
66000	68000	Und die haben gesagt, nö, kennen sie nicht.
68000	75000	Und dann dachte ich, krass, wenn die Boys, die den ganzen Tag Tagespolitik machen und sich übelst auskennen, das nicht wissen, muss ich es mal in einem Video machen.
75000	81000	Und dann dachte ich mir, okay, wenn ich das mache, dann kann ich auch gleich ein bisschen weiter weltliche Beobachtungen erklären, Teil 3 machen.
81000	85000	Und mal so ein bisschen noch weiter denken über das Problem mit den Hierarchien, ist ja klar.
85000	88000	Und deswegen mache ich das jetzt, ist ja kein Ding.
89000	95000	Was ist passiert? Es gab die Gelbwesten und Macron hat sich gedacht, Scheiße, was mache ich denn jetzt?
95000	98000	Besänftige ich die vielleicht mal mit so einem Projekt?
98000	105000	Und dann hat er im Prinzip 150 Franzosen wurden randommäßig ausgesucht aus Frankreich, die extrem gut den Querschnitt der Bevölkerung darstellen.
105000	117000	Also in Alter, Geschlecht, Berufsgruppen, also in diesem Gremium, was von 150 Leuten ausgewählt wurde, waren dann halt auch Arbeitslose, Doktoren, Musiker, Bäcker, egal.
117000	120000	Sie waren sozusagen ein guter Querschnitt der Gesellschaft.
120000	129000	Und da würde man ja jetzt annehmen, okay, der Vorschlag war, ihr 150, ihr macht jetzt mal sieben Wochen lang Demokratie-Experiment.
129000	131000	Ihr tut mal so, als wärt ihr Regierung.
